职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期,技术栈
Python售后工程师,上海闵行区优层智能有限公司303,本科,1-3年,,10-12K,电子/半导体/集成电路,,100-499人,不需要融资,招聘中,全职,岗位描述：1.根据开发需求，完成基于Python的模块开发；2.负责产品的接口优化和性能优化；3.与各部门团队成员协同配合，完成迭代开发任务，确保产品的顺利上线；4、遵循开发流程和开发规范，完善代码注释。技能要求1、熟练使用python语言，1年以上python工作经验；2、本科及以上学历；3、能接受长期出差，项目地工作；4、工作认真负责，具备良好的团队沟通和协作能力,公司主要为光伏产业提供一站式服务,https://www.zhipin.com/gongsi/5630ea18e1fc1c551XF40ty-EFI~.html,https://www.zhipin.com/job_detail/bcfc4a33a8dc6e2e1HB629q7FVFU.html,2024-05-15 06:43:50,[['Python']]
资深python开发工程师,上海浦东新区前滩中心40楼,本科,5-10年,,20-21K,计算机软件,,0-20人,,招聘中,全职,"致力于开发AIGC相关项目。包含企业大脑，知识库，自动化公司等职位描述主要职责：参与大规模NLP和机器学习模型的设计、开发和优化。利用Python进行高效的数据处理、清洗和分析，以支持模型开发和改进。与跨职能团队合作，确保项目的顺利进行和成功交付。参与代码审查和技术文档的编写，保证代码质量和项目可维护性。对最新的NLP和大模型技术保持关注，积极探索和实施新的技术解决方案。基本要求：1.本科及以上学历，计算机科学或相关领域。2.5年以上Python编程经验，熟悉常用的数据处理和机器学习库。3.3年以上NLP和大模型开发经验，有实际项目落地经验者优先。4.熟悉深度学习框架如TensorFlow或PyTorch。5,了解langchain框架或semantic kernel框架，了解向量数据库6.有良好的算法基础和数据结构知识。7.良好的团队合作和沟通能力。加分项：有大规模机器学习或深度学习项目经验。熟悉云计算平台和大数据技术栈。有研究背景或发表过相关领域的学术论文。",,https://www.zhipin.com/gongsi/5884ee9793f09b5b1nV939i7ElQ~.html,https://www.zhipin.com/job_detail/996d71a9b909ac7f1HV729u-FlZT.html,2024-05-15 06:44:12,"[['Python', '数据处理', '数据清洗', '数据分析', 'NLP', '机器学习', '模型设计', '模型开发', '模型优化', 'TensorFlow', 'PyTorch', 'langchain', 'semantic kernel', '向量数据库', '算法基础', '数据结构', '团队合作', '沟通能力']]"
mes开发工程师,深圳三利谱光电科技股份有限公司公常路246号,大专,3-5年,,10-15K,电子/半导体/集成电路,,1000-9999人,A轮,招聘中,全职,任职要求：1、大专 以上学历， 计算机类相关专业。2、熟悉NET/.NETCore等主流框架及相关知识；3、熟悉C#/JAVA等主流后端开发语言；4、HTML、JS等前段开发技术；5、SQLServer、MySQL等数据库数关开发及优化技术；6、MES系统慨念及流程、制造业生产方式慨念；7、数据汇总分析；8、多系统数据对接经验及技术、系统异常问题排查经验及技术9、良好的沟通能力和团队合作精神。,"深圳市三利谱光电科技股份有限公司是高新技术民营企业，自2007年公司成立至今，在LCD偏光片领域，取得了长足的进步。公司于2017年5月上市，股票代码：002876；研发技术团队在公司成立之前就主持制定了《液晶显示器件的测试方法》国家标准、主持了《TN-液晶显示器用偏光片》和《TN-液晶显示器用偏光片》研制项目、主持制定了国内液晶显示器用偏光片的标准，在公司成立之后又先后成功研制出中国CSTN半透偏光片、OLED偏光片、TFT半透偏光片、宽幅（1490mm）TFT偏光片生产线并拥有该项目的完全自主知识产权，公司现已拥有4项发明专利和27项实用新型专利。1号生产线：宽幅（1330mm）TFT偏光片中、后工序生产线于2007年在深圳松岗建成；2号生产线：650mm全制程偏光片生产线于2008年在福建莆田建成；3号生产线：宽幅（1490mm）TFT型偏光片于2011年8月在深圳光明新区建成,三利谱L3是国内宽幅TFT偏光片全制程生产线，年产能600万平方米;4号生产线：三利谱合肥工厂一期工程已于2016年10月28日建成投产，包含两条宽幅生产线:L4:幅宽1490mm，年产能1000万平方米；L5:幅宽1330mm，年产能 600 万平方米。5号位于福建莆田的L2工厂，宽幅650mm，主要生产TN/STN类偏光片，产能120万平方米/年。公司规划到2020年再建成4条宽幅TFT偏光片生产线，包括2条宽幅（2300mm)TFT偏光片生产线和2条宽幅1490mm TFT偏光片生产线，届时三利谱偏光片年产量将达8000万平方米。“三利谱”人，热忱、务实、协作、高效；“三利谱”园区，环境优美，林涛阵阵，交通便捷，生活适意；“三利谱”公司，开国内行业之先，前途锦簇，空间广阔。为众多有识之士、行业菁英所称羡、所向往。“三利谱”公司在偏光片行业耕耘多年，风云际会，厚积薄发。如今，她正在步入一个行业中不可多遇的、快速成长的发展期；她踌躇满志，正在张开双臂，拥抱天下才俊、行业菁英，并籍此共襄大业，携手未来。公司福利：1、包食宿；食堂环境好，所用食材好，口味佳。2、工龄奖：服务满半年，工龄奖100元；服务满一年，工龄奖300元；服务满2年，工龄奖400元。3、年终奖：根据公司效益，年终对员工有一定奖励。",https://www.zhipin.com/gongsi/e233e5ffbf7c31b60XJ50t6-GA~~.html,https://www.zhipin.com/job_detail/511ab825fae47be31HB52tS5FFFY.html,2024-05-15 01:00:51,"[['NET', '.NETCore', 'C#', 'JAVA', 'HTML', 'JS', 'SQLServer', 'MySQL', 'MES系统', '数据汇总分析', '多系统数据对接', '系统异常问题排查']]"
.net软件工程师,深圳宝安区鹏鼎控股资讯,大专,1-3年,,7-9K,通信/网络设备,,10000人以上,已上市,招聘中,全职,1.熟悉Oracle数据库2.熟练.net开发工具,"公司介绍 公司成立于1999年4月29日，并于2018年9月18日在深圳证券交易所上市,股票简称“鹏鼎控股”,股票代码002938。 公司主要从事各类印制电路板的设计、研发、制造与销售业务。产品广泛应用于通讯产品、计算机、消费性电子及各类3C电子等产品。 鹏鼎控股的制造基地分布于深圳、秦皇岛、淮安，服务半径覆盖中国大陆、中国香港、中国台湾、日本、韩国、美国及越南等地，可以为全球客户提供高速、高质、低成本及高附加值的PCB设计、开发、制造及销售服务，满足客户「one stop shopping」的需求 公司以“发展科技、造福人类，精进环保、让地球更美好”为使命，多年来致力于与世界一流客户合作，通过运用先进的研发技术，配合高效率、低成本的运营手段，构建出一个体系完善、布局合理的PCB 产供销体系，打造了“效率化、合理化、自动化、无人化”的现代化工厂，成为业内极具影响力的重要厂商之一，在行业享有非常高的知名度。 公司高度重视研究开发工作,在深圳市设有研发中心,公司不断加强产学研合作，截止目前已与包括清华大学深圳研究生院、北京大学深圳研究生院、中山大学、哈尔滨工业大学（深圳）、深圳大学等大陆知名高校以及台湾工业技术研究院、台北科技大学、成功大学、台湾清华大学、中兴大学及中原大学等多所台湾地区知名学府及研究机构进行研发合作，截止目前，公司已获得国内外授权专利数600余件。 根据Prismark 2018年2月最新报告统计的以营收计算的全球PCB企业排名，公司已成为全球第一大PCB企业。",https://www.zhipin.com/gongsi/76551dc7be40d6543nF63Ny4.html,https://www.zhipin.com/job_detail/e5a9ec8697310e0b1XV-096-F1dR.html,2024-05-15 01:01:36,"[[['Oracle数据库'], ['.net开发工具']]]"
计算机编程老师,上海闵行区上海闵行区30栋,本科,经验不限,,2-7K,培训/辅导机构,,0-20人,未融资,招聘中,全职,能够熟练掌握大学计算机专业知识需要会熟练python 或 java 或C语音英语水平需要能看懂英文题目和教材需要帮助留学生辅导完成作业需要有责任心 线上工作 时间相对自由,帮助留学生发展辅导其学业,https://www.zhipin.com/gongsi/dce5e8afdfafb1a81nx93tq9EVI~.html,https://www.zhipin.com/job_detail/2f518967a711a0e41nx53dW9FVtX.html,2024-05-15 06:46:09,"[['Python', 'Java', 'C'], ['English']]"
.NET开发工程师,深圳南山区深圳市爱世达资讯科技有限公司405室,本科,1-3年,,9-14K,计算机软件,,20-99人,未融资,招聘中,全职,"【岗位要求】1. 计算机相关专业本科及以上学历，1年以上开发经验；有Aras Innovator、PLM、ERP、MES系统开发经验优先；2. 熟练掌握C#或java，SQL Server数据库/MySQL；具备良好的开发习惯，有优秀的文档能力；3. 有较强的软件开发功底，能按时并高效完成既定计划;4. 具有良好的沟通能力，团队合作意识强；5. 熟悉ERP或金蝶产品优先。【岗位职责】1. 完成软件系统代码的实现，编写代码注释；2. 根据设计文档或需求说明完成代码编写，调试，测试和维护；3. 负责项目版本、代码管理的技术建设，并输出开发相关技术文档；4. 参与团队的管理与技能培训；【公司福利】 1. 双休制、上班时间（9:00-12:00,13:30-18:00） 2. 七险一金、健康体检、节日礼品、生日福利、高温补贴、年终奖金 3. 礼金（结婚贺礼、婴儿出生、重大疾病、丧假慰问、妇女节） 4. 培训进修（内外部）、职员俱乐部、年度旅游 5. 年休假、婚假、产假、陪产假、病假等带薪假",公司成立于2014年1月，核心团队从事信息化领域超过15年以上，是一家专业提供企业级信息管理系统与企业数字化建设的软件公司；也是金蝶软件铂金级合作伙伴，ISV伙伴，拥有行业自主研发和企业IT定制服务团队。公司拥有一批极具专业背景的企业管理咨询顾问师和技术专家，具备丰富的行业经验和对管理信息化、数字化的深度研究，我们一直致力于成为企业值得信赖的信息化、数字化服务商，坚持秉承客户至上，服务至上，帮助客户成功的核心价值观，为企业客户的信息化、数字化建设完善不懈努力。企业愿景：成为值得企业信赖的EBC服务商企业使命：帮助客户数字化转型升级，让团队成长与实现人生价值企业文化：以客户为中心，以奋斗者为本，分享与成长【公司发展】现公司将近百人，因业务扩增全国（深圳总部/长沙分公司/成都上海办事处等），公司业务不断发展，人员需求不断扩大，我们公司主要做金蝶云星空+金蝶PLM/自研PLM+自研MES+自研WMS等金蝶及自自研产品，公司在快速发展阶段，期待您的加入！,https://www.zhipin.com/gongsi/9445e341214de02a0HR-3tq_.html,https://www.zhipin.com/job_detail/c8d45d62054c9f871nN_0tS5FVNQ.html,2024-05-14 23:59:21,"[['Aras Innovator', 'PLM', 'ERP', 'MES', 'C#', 'Java', 'SQL Server', 'MySQL']]"
.net开发工程师,深圳龙岗区春湖工业区10栋,大专,1-3年,,10-15K,计算机软件,,20-99人,未融资,招聘中,全职,职位描述：1.负责公司ERP系统设计、开发、测试、维护工作，完成完整系统测试与部署；2.完成DotNET服务应用开发，能够编写多线程、消息通讯的Web服务；3.上级交给的其他工作任务。任职资格：1.大专以上学历，计算机、软件等相关专业优先；2.DotNET开发三年经验以上；3.熟悉SQLServer数据库及基本SQL应用；4.思路清晰，自学能力强，善于分析，独立解决问题，具有良好的团队协作精神；5.有java、Mysql开发经验更佳。,深圳前海思佳智能有限公司成立于2019年，由中国最大规模书刊商业印刷企业“中华商务”投资成立。思佳智能从创立之日起即致力于把基于先进信息技术的管理与业务实践普及到客户的管理与业务创新活动中，全面提供具有自主知识产权的ERP企业管理软件服务与解决方案；秉承“中华商务”百年企业的精髓，思佳智能以开发新的技术领先产品为核心竞争优势，以ERP为主要应用平台，针对不同客户需求，做出不同产品组合和延伸，满足企业快速，敏捷的需求。 公司致力于人才成长，构建全面的发展平台。我们秉承开拓创新、合作共赢的人才管理理念，邀请优秀人士加入我们的团队，共创美好的未来。,https://www.zhipin.com/gongsi/71faba4e3beb15d833Jy09m-EQ~~.html,https://www.zhipin.com/job_detail/e41b2544aaf78c1e3nFz3NS9GVo~.html,2024-05-14 23:59:43,"[['ERP系统设计', '开发', '测试', '维护', 'DotNET服务应用开发', '多线程', '消息通讯', 'Web服务', 'SQLServer数据库', 'SQL应用', 'Java', 'Mysql']]"
.NET工程师,深圳南山区深圳科技工业园大厦(西南门)701,大专,1-3年,,14-20K,电子/半导体/集成电路,,100-499人,未融资,招聘中,全职,1.负责自动化设备上位机软件的设计开发工作;2.参与产品方案的设计和评审，负责对软件功能进行分析和评估，做出系统软件设计方案，进行设备上位机软件部分开发;3.跟进项目软件调试并解决软件调试时出现的问题;4.项目文档的编制、记录跟进和设计资料归档。岗位要求：1.大专及以上学历，自动化、计算机、软件工程类相关专业，2以上C#开发经验;2.熟悉开发winform程序，精通C#或C++编程，Visual Studio平台;3.熟悉TCP/IP网络协议，熟练掌握RS232/485等数据通讯接口;4.能独立完成自动化设备上位机软件开发;5.有CCD、机器人，控制卡软件集成开发经验着优先录用工作地点：东莞市石龙镇石龙镇健康路中强精英公司石龙镇龙升路2号,深圳市视显光电技术有限公司成立于2006年6月27日，是以研发、定制、批量生产液晶电视逻辑板、4K板、TCON板为主的深圳双高双软企业。公司拥有国内领先的逻辑板软件开发团队并取得了多项软件著作权登记证书，一流的逻辑板硬件研发团队。视显光电在逻辑板领域耕耘多年，通用版领域的市场占有率目前达到90%，视显逻辑板广泛应用于计算机显示器，家电产品，户外显示器等上，适用于国内各大显示屏品牌（AU友达，BOE京东方，CMI奇美，CSOT华星光电，LG等），产品在满足国内市场的同时，广泛出口到欧美、东南亚、韩国、日本等国家和地区。 目前公司正处在一个高速发展期，这是公司的机遇也是我们大家的机遇，同时我们是一个年轻活力的团队，我们欢迎更多有能力的人士加入视显光电这个集体，让我们一起快乐起航！联系我们：公司官网：www.gdsxgd.com公司总部：深圳市南山区科苑路6号科技园工业大厦7楼701室,https://www.zhipin.com/gongsi/48ccb40afcb0f7e61n1629y6FQ~~.html,https://www.zhipin.com/job_detail/16631d030017a6ba1nZz2Nm1EFNY.html,2024-05-15 00:00:51,"[['自动化设备上位机软件设计开发', '产品方案设计', '软件功能分析评估', '系统软件设计方案', '设备上位机软件开发'], ['C#开发经验', 'Winform程序开发', 'C#或C++编程', 'Visual Studio平台'], ['TCP/IP网络协议', 'RS232/485数据通讯接口'], ['自动化设备上位机软件开发'], ['CCD、机器人，控制卡软件集成开发经验']]"
.NET开发工程师，研发工程师,深圳南山区深圳市软件产业基地2C,本科,1-3年,,9-14K,计算机软件,,100-499人,不需要融资,招聘中,全职,"岗位职责：1、基于.net平台B/S系统框架分析、设计开发；2、基于ASP.net的组件开发；3、基于.net的底层服务开发。 职位要求：1、本科及以上学历，计算机相关专业；2、必须两年以上(不含实习)实际编程开发经验；3、2年以上.net实际开发经验，精通C#语言，MVC开发项目；4、熟悉SQL Server数据库，熟练使用SQL语言，掌握存储过程；5、熟悉零售、分销，进销存系统企业管理，开发过类似应用者优先。必须两年以上实际编程开发经验,必须两年以上实际编程开发经验,必须两年以上实际编程开发经验,必须两年以上实际编程开发经验",思迅是国内商业信息化、数字门店、数字餐厅方案供应商与践行者，23年专注零售餐饮信息化创新应用，系统整合了商业大数据、智能设备、生态流量，推出思迅商云计划。用智能技术“新引擎”赋能零售商，以科技服务市场，刷脸支付、自助收银、会员画像、AI互动等技术产品带给消费者全新的购物体验，塑造科技零售美好生活。思迅诞生于深圳科技园，是国内第一批“国家级高新技术企业”和“深圳市重点软件企业”。自1998年推出国内第一个即插即用的商业管理软件“思迅”，至今旗下已拥有知名品牌“思迅”“SIXUN”“美食家”“eShop”“天店”“客至”，产品及解决方案覆盖零售、餐饮及各细分行业。公司里程碑历程：2013年引入战略投资，成为A股上市公司石基信息（股票代码002153）成员企业。2015年推出基于SAAS的云零售云餐饮方案。2016年思迅正式挂牌新三板上市（股票代码838758）。2018年启用新标识、战略投资南京客至软件、与阿里巴巴签署新零售战略合作协议。2021年蚂蚁集团战略入股思迅。思迅官网：http://www.sixun.com.cn。福利：1、【工作时间】周工作五天制，每天7.5小时的高效工作时间。工作生活两不误~2、【薪资福利】月薪+月度绩效的合理薪资水平。当然，年终奖必须有！3、【五险一金】入职即缴纳社保~五险一金 妥妥滴！4、【假期】年假，少不了~法定节假日，必须放啊~这样肯定还不够啊！！工作满三年年假往上加，最最人性化的是多2天春节探亲假，公司够给力吧~~5、【活动】传统佳节活动、礼品统统有~最壕的当属年会，boss的大奖拿到手软~,https://www.zhipin.com/gongsi/d96bd38eb61a339b03R50g~~.html,https://www.zhipin.com/job_detail/9b9973659866e0821nN53dq1E1I~.html,2024-05-15 00:01:14,"[['.net平台B/S系统框架', 'ASP.net组件开发', '.net底层服务开发'], ['C#', 'MVC开发', 'SQL Server数据库', 'SQL语言', '存储过程']]"
.Net/C# 后端开发,深圳南山区深圳湾科技生态园二区9栋B座B1座24楼,大专,3-5年,,15-20K·13薪,生活服务（O2O）,,500-999人,D轮及以上,招聘中,全职,岗位职责：1.接受公司培训，高效吸收公司的业务、技术相关信息；2.根据部门及团队承接的开发需求，完成分配的开发任务；3.跨部门对接，与产品、运营或其他部门交涉，及时调整需求；岗位要求：1.3-5年.Net开发经验；2.基本功扎实，对DDD、OO、IOC、AOP有一定了解，熟悉常用设计模式；3.熟悉 .Net、EF、Redis、MQ；4.对数据库设计/数据库性能调优有一定了解；5.熟练使用Visual Studio、VS code、Postman、Fiddler、Wireshark等工具；6.拥有较强的自学能力以及独立解决问题的能力,"深圳市道旅旅游科技股份有限公司（简称：道旅） 道旅是一家致力于为用户提供优质旅游服务的互联网旅游公司。我们基于IT技术和运营优势，自主研发了Dida订房系统，整合了全球200多个国家和地区、48,000+个城市及目的地， 100万+酒店资源，为全球超过3万+线下旅行社、差旅管理公司和机票代理等旅游同业提供酒店采购预定服务。 自2012年成立以来，道旅在全球范围内建立了13+办公地址，总体人员规模超过550人，海外员工占比达到20%+。我们的不断发展和创新，使得我们成为亚太区B2B酒店分销领域的领先企业。此外，我们还获得了阿里巴巴领投的数亿元投资，为我们未来的发展注入了更多动力。 我们致力于用科技手段链接供应端和需求端，让旅游生意更好做，未来，我们将继续推进技术创新和业务拓展，为用户带来更多惊喜和价值。你可以通过以下几句话了解我们： 我们是亚洲大型的酒店批发商之一（食品批发商批的是食品，我们批的是酒店动态库存）我们平台的单日交易量突破1800万人民币全球有23,000+旅游机构信赖我们广东省500强企业深圳市500强企业2021年逆势斩获阿里巴巴领投的数亿元投资我们有较为国际化的开放职场氛围在道旅，这些统统都可以有：人才住房福利：我们是区里细分行业龙头企业，定期会有人才房名额分配，省下来的房租拿去旅游多香啊生日会：这世上除了你的家人100%不会忘记你的生日，还有我们的行政部同事节日福利：大时大节都有节日礼品带回家，回到家里人人夸年度体检：每年确保会有员工体检，选的都是深圳一线体检机构，健康这件事情我们绝不含糊找到运动组织：羽毛球、篮球……甚至王者荣耀比赛、剧本杀，只要你想，我们就安排，人满就“发车”好玩的年会和密集的大奖：道旅人参加年会就一个宗旨：吃好喝好住好，以及手气好！因为我们的奖品实在太多了……顶配的iPhone、华为手机、笔记本、Air Pods、iPa，以及由我们全球酒店伙伴提供100晚的酒店房券（护照赶紧办起来，这个世界在等着你）职业发展多通道晋升：富有竞争力的薪酬体系，广阔的职业发展空间及晋升通道，同时我们注重培训学习，鼓励个人提升，对个人来说是非常有发展空间。",https://www.zhipin.com/gongsi/1d043cd9c15abcd81ndz3Ns~.html,https://www.zhipin.com/job_detail/6c0e976ce72dd13f1HZ43tm0EFNZ.html,2024-05-15 00:02:44,"[['.Net', 'EF', 'Redis', 'MQ']]"
