id,job,job_cn
8,3d artist,三维艺术家
9,3d designer,三维设计师
1,1st pressman,印刷工
0,1st grade teacher,一年级教师
4,2nd grade teacher,二年级教师
11,3d specialist,三维专家
10,3d modeler,三维建模师
7,3d animator,三维动画师
3,21 dealer,21经纪人
5,2nd pressman,二版印刷工
6,2 year olds preschool teacher,2岁幼儿教师
14,3rd grade teacher,三年级教师
2,1st pressman on web press,网版印刷机第一印刷工
15,3rd mate,三副
16,3rd pressman,印刷工
22,6th grade teacher,六年级教师
20,4th grade teacher,四年级教师
19,4th grade math teacher,四年级数学老师
13,3rd grade reading teacher,三年级阅读老师
12,3d technologist,三维技术专家
21,5th grade teacher,五年级教师
18,4 h youth development specialist,4小时青年发展专家
17,411 directory assistance operator,411电话簿查询员
26,8th grade teacher,八年级教师
24,7th grade teacher,七年级教师
27,911 dispatcher,911调度员
30,911 operator,911接线员
25,8th grade mathematics teacher,八年级数学老师
32,aadc plans staff officer,AADC计划参谋官
23,7th grade social studies teacher,七年级社会研究教师
28,911 emergency dispatcher,911紧急调度员
31,911 telecommunicator,911电话通信员
29,911 emergency services dispatcher,911紧急服务调度员
33,a and p mechanic,汽车维修工
35,a auxiliary,助理
41,abatement worker,灭害工
42,aba therapist,ABA治疗师
37,abalone fisherman,鲍鱼渔民
34,a and p technician,A/P技术员
40,abap developer,ABAP开发者
43,abattoir manager,屠宰场经理
38,abalone processor,鲍鱼加工者
46,abe teacher,教师
36,abalone diver,鲍鱼潜水员
45,aba tutor,家教
39,abalone sheller,鲍鱼剥壳工
44,abattoir supervisor,屠宰场主管
51,able seaman,水手
52,abnormal psychology teacher,异常心理学教师
48,able bodied seaman,健壮的海员
55,aboriginal education teacher,土著教育教师
53,aboriginal ceremonial celebrant,土著仪式庆典者
47,ab initio etl developer,从头开始的ETL开发者
50,able bodied watchman,健壮的守卫
54,aboriginal community council member,土著社区委员会成员
56,aboriginal education worker coordinator,土著教育工作者协调员
57,aboriginal home school liaison officer,土著家庭学校联络官
49,able bodied tankerman,健壮的油轮船员
58,aboriginal liaison officer,土著联络官
59,abrading machine tender,磨料机操作员
62,abrasive grader,磨料分级员
60,abrasive band winder,砂带卷绕机
65,abrasive mixer,磨料混合机
66,abrasive mixer helper,磨料混合机助手
63,abrasive grader helper,磨料分级工助手
61,abrasive coating machine operator,磨料涂层机操作员
67,abrasive sawyer,磨锯工
64,abrasive grinder,磨料磨光机操作员
71,abrasive worker,磨料工
68,abrasives sales representative,磨料销售代表
70,abrasive wheel molder,磨轮成型工
