,Further Job Category,Job Titles
0,.net,"['后端开发工程师（.net）-24届' '.net开发工程师' '.net core开发工程师' '.net软件工程师' '.net程序员'
 'ASP.net开发工程师' '.net实习生' '.net开发' '.net开发工程师（粤语流利）' '.net开发（驻场客户方 线上面试）'
 '.net软件开发工程师' '软件工程师.net' '高薪诚聘MES开发（.net方向）' '.net 后端开发'
 '.net开发工程师（双休，加班工资另算）' '高级.net开发工程师' '.net 研发工程师' '.net工程师' '.net 开发工程师'
 '.net' '资深.net开发工程师' '.net(bpm/OA)' '初中级.net开发工程师' '.net高级开发工程师'
 '.net开发工程师（BPM）' '高级.net开发' '.net开发测试工程师' 'asp.net全栈开发工程师'
 '.net工程师（web方向）' '.net后端开发工程师' '.net 软件开发工程师' '高级.net开发工程师/专家'
 'c语言.net软件开发工程师' '.net开发工程师（供应链方向）' '.net-大厂' '.net 高级开发工程师'
 '.net中高级开发工程师' '.net/c#开发工程师' '.net 程序员' '.net C#开发' '.net初级工程师'
 '后台开发工程师/.net架构师' 'C#.net' '.net后端工程师' '.net core开发人员' 'asp.net mvc软件工程师'
 '.net开发 广州' '.net工程师（外派深圳福田嘉里建设广场）' '.net高级工程师' '.net高级开发' '.net后台开发'
 '.net高级研发工程师（驻马来西亚）' '.net研发工程师' '.net工程师（包住）' '.net core研发工程师'
 '.net、MES开发工程师']"
1,java,"['java高级开发工程师' 'java大数据开发工程师' '推荐系统java研发工程师' 'java大数据讲师' 'java开发'
 '高级大数据java工程师']"
2,python,"['python工程师' 'python开发工程师' 'python讲师' '兼职python程序员'
 '服务端开发工程师(python)(A58727)' '资深python开发工程师' 'python软件开发工程师'
 '高级python开发工程师' 'python' '中关村 python' '后端工程师（python C++ / Golang python)'
 '高级python工程师' 'python后端开发工程师' 'python后台工程师（AI小游戏后台）' 'python兼职老师'
 'python后端工程师' 'python实习生' 'python/matlab工程师' 'python程序员'
 '后端工程师 python，django' 'python研发工程师' 'python高级开发工程师' 'python数据分析讲师（兼职）'
 'python数据开发工程师' 'python实习生（AI方向，远程实习）' 'python高级工程师' 'python开发工程师（算法方向）'
 'python web全栈工程师' 'python工程师（双休）' 'python量化开发工程师' 'python开发'
 'python(线上面试，自研平台，16薪，双休）' 'python高级工程师(内推，优先面试)' 'python全栈开发工程师'
 'python开发实习生' 'SAP驻场-python' 'python开发工程师（日语N3）' '中级python开发工程师'
 '影视动画 TD（python开发）' 'python编程老师' 'python工程师（公司自招）' 'python工程师（aigc方向）'
 'nlp自然语言处理python实习生' 'linux 开发工程师-cpp-python']"
3,云计算,['云计算研发工程师' '云计算开发工程师']
4,人工智能,['Python开发工程师（通用人工智能编程语言）' '人工智能课程研发']
5,其他,"['.NET' '网络技术专员' 'Hadoop' '.NET实习生' 'C#' 'Dynamics365' 'C#/net' '.NET技术经理'
 '.NET Core' '计算机编程老师' '高级程序员' '急招 net 反馈块 会VUE' '高级系统分析师'
 '.NET(懂vuejs+线上面试+快速到岗)' '.NET(中高级）' '大模型应用研发' 'IT程序员' 'ASP.NET程序员'
 'Python' '青少年科技编程/竞赛老师 全/兼职北京' '.NET全栈技术合伙人' 'hadoop架构师'
 '.Net（急急急缺9个电话面试薪资可谈）' '量化策略研究员' '架构师' '.NET高薪跨平台兼职' '.NET低代码高薪跨平台兼职'
 'Hadoop/Spark引擎研发' 'NET leader（b.ase 深圳,需英语好）' '计算引擎研发' '湖仓一体服务技术专家'
 'hadoop系统研究员' 'net程序员' 'OLAP引擎内核研发' 'kafka' 'Hadoop架构师' '助理研究员'
 '兼职答疑老师（编程类）' '数据处理师' 'Hadoop Admin' 'Spark引擎架构师-非数仓岗' '基础架构技术专家'
 'Salesforce' 'Hadoop Architect' '数据研发/专家' '数据治理（基金+稳定）'
 '高级/资深技术专家（Java, Hadoop)' 'Python教师' 'MTS 1, Software Engineer-Hadoop'
 '爬虫实习生' '技术合伙人' '后端研发实习生' '虚拟化技术专家' '数据处理' '科研助理岗' 'Python实习生' '量化交易员'
 '编程老师' '数据挖掘' '数据处理实习生' '互联网后端研发实习生' 'AI大模型产品工程化' 'Python后端'
 '兼职Python（隐私计算）' 'Django海淀' 'PipelineTD']"
6,大数据,"['大数据开发工程师' '大数据存储工程师' '大数据应用工程师' '大数据基础组件架构师' '大数据平台开发工程师' '大数据开发实习生'
 '大数据后台开发' '大数据开发岗位' '大数据平台研发工程师' '大数据平台高级开发工程师' '大数据平台开发实习生' '大数据平台架构师'
 '高级大数据开发工程师' '大数据运维工程师【德科od岗】' '大数据SRE' '大数据运维工程师' 'Spark大数据开发工程师'
 'Hadoop舆情大数据开发工程师' '大数据开发工程师（华为OD-深圳/全国）' '大数据工程师' '大数据开发运维工程师' '大数据讲师'
 '大数据系统研发工程师' '大数据技术专家' '大数据运维' '资深大数据工程师' '大数据研发工程师' '高级大数据工程师'
 '大数据资深开发工程师' '大数据开发工程师（数据挖掘）' '大数据高级软件开发工程师' '大数据资源调度研发工程师'
 'Hadoop大数据开发工程师' '大数据引擎研发工程师' '大数据平台研发工程师1159' '腾讯云大数据开发' '大数据培训讲师'
 '年薪50万+聘大数据技术讲师' 'Hadoop大数据讲师，Hadoop,Storm,Spark' '大数据性能优化高级专家.北京'
 '大数据开发工程师（软件开发）' '基础平台架构师(大数据方向)' '大数据平台和应用开发工程师' '小米大数据大数据运维工程师'
 '大数据开发-数据中台' '大数据架构或研发' '大数据开发' '大数据兼职网络讲师' '大数据系统开发工程师' '金融大数据专家'
 '大数据架构工程师' '大数据专家讲师' 'ETL工程师-大数据方向' '大数据开发工程师-银行' '腾讯云高级大数据研发工程师'
 '大数据开发工程师-新零售' 'Hadoop大数据工程师' '大数据开发工程师（东莞/深圳）' '大数据后端开发工程师（Clickhouse）'
 '大数据开发工程师（本科）' '大数据安全分析高级工程师' '大数据实时平台开发实习生' '大数据平台架构及研发' '大数据组件内核开发'
 '大数据基础平台开发工程师' '大数据开发（TKYL13薪公积金全额）' '大数据开发（24届可转正）' '大数据高级开发工程师'
 '大数据底层框架工程师' '（外企）大数据开发' '广告大数据平台研发工程师' '大数据平台工程师' 'hadoop大数据工程师'
 '大数据技术经理' '大数据开发工程师（商业化方向）' '大数据工程师（国企）' '大数据工程师（驻场-黄埔-清算所）'
 '大数据开发（英语好，每周2-3天可居家）' '大数据后台开发工程师' '大数据平台开发运维工程师' '大数据组件工程师/架构师'
 '大数据实时计算平台研发工程师' '拼多多大数据实时计算平台研发工程师' '大数据后端开发' '大数据平台开发专家' 'Hadoop大数据开发'
 '大数据存储技术专家' '大数据交付工程师' '大数据架构师' '大数据研发专家' '高级大数据运维工程师' 'hadoop大数据平台运维专家'
 '大数据后端开发工程师-高级/专家级' '大数据专家' 'AI大数据工程师' '大数据开发（Hadoop，Spark，Java）'
 '大数据平台架构师（引擎&调度&存储）' '大数据开发工程师 (MJ000070)' '大数据架构' 'hadoop大数据开发工程师'
 '大数据开发工程师-上清所-全额公积金13薪' '大数据研发工程师-资源调度方向' '大数据高级分析工程师' '大数据开发岗-实时计算方向'
 'Big Data大数据开发' '中级大数据开发工程师' '大数据实时计算资深工程师/架构师/专家' '大数据研发工程师 / 高级Java工程师'
 '大数据计算引擎研发专家/高级工程师' '大数据运维工程师（长期银行，广佛双休）' '大数据开发（离线存储方向）' '大数据开发工程师【LI】'
 '初级大数据开发-13薪全额公积金-中债' 'OLAP引擎&大数据系统架构师' '大数据应用开发工程师' '运维开发工程师(大数据）'
 '大数据研发工程师-离线计算方向' '【OD】大数据开发工程师' '大数据开发工程师岗位' '资深大数据存储研发工程师/HDFS研发专家'
 '云侧大数据JAVA、Scala软件设计工程师' '大数据开发工程师 急招' '大数据开发工程师（OD）' '大数据实时计算工程师'
 '高级大数据平台开发工程师' '大数据项目经理' '大数据实时开发工程师' '大数据开发（JAVA方向）' '大数据研发工程师(离线计算方向)']"
7,工程师,"['数仓工程师' '.NET 工程师' 'Java研发工程师-【用户画像方向】' '.NET工程师' 'RPA工程师' '.Net 高级工程师'
 'CRM工程师' '小程序后端工程师' '后端工程师' '.NET 研发工程师' 'NET Core工程师' '高级后端工程师'
 '.NET，C#高级工程师' 'ERP二开工程师' 'rpa工程师' '.NET高级研发工程师' '.NET工程师-C#-线上面试'
 'Python售后工程师' '技术工程师' '.NET全栈工程师' 'ASP.NET Core 研发工程师' '研发工程师（实习）'
 'mes高级工程师' '大规模集群资源调度工程师' '技术专家/高级工程师 - 数据湖内核' 'Hadoop工程师' 'ETL工程师'
 'paas平台研发工程师' '基础架构部_分布式系统研发工程师' 'OLAP引擎研发工程师' '分布式存储研发工程师' '分布式调度研发工程师'
 'Hadoop研发工程师' 'Java工程师' 'RPA工程师（影刀）' '分布式存储计算 技术专家/高级工程师'
 '采集配置工程师(J10017)' 'bi工程师' 'OLAP引擎研发工程师（双休/大厂）' 'Hadoop系统研发工程师'
 'Hadoop SRE工程师' 'OLAP研发工程师-【数据平台】' '机器视觉工程师' '存储研发工程师' 'hadoop 工程师'
 '华为云解决方案研发工程师' '分布式系统研发工程师' '算法工程师' '表格存储(HBase/HDFS) 研发工程师'
 'Python全栈工程师' '高级hadoop工程师' 'Python研发工程师(J58097)' '广告投放和分发平台全栈工程师'
 '全栈工程师' '数据处理工程师' '研发工程师' '数据处理及算法工程师' 'Python高级工程师' 'RPA技术工程师' '交付工程师'
 'Python/matlab工程师（线上兼职工作）' '虚拟化研发工程师' 'Python研发工程师(J10725)'
 'Python/matlab工程师' '大模型数据工程师' '平台后端高级工程师' '大气数值模拟工程师' 'Python工程师'
 '安全研发架构师／工程师' '金融量化工程师' '高级逆向工程师' '爬虫实习研发工程师' 'Python后端工程师'
 'Python高级研发工程师' '研发工程师 - 反爬方向' '大模型驱动Agent应用/平台研发工程师' '高级量化工程师'
 '研发工程师（Python、C++）' 'Python/AI工程师(A248933)' '高级Python工程师' 'Python Web工程师'
 'SDN网络研发工程师(J10071)' '广告平台后端工程师' '阿里云可观测研发工程师' 'Python工程师（偏数据分析及模型方向）'
 'AI大模型后端工程师' 'AI工程 - 边缘计算工程师（北京）']"
8,开发,"['.NET开发工程师' '.Net Core 开发工程师' '.Net后端开发工程师' 'ASP.NET开发工程师' '.Net开发工程师'
 '金蝶.NET开发工程师' 'C#高级开发工程师' 'net开发工程师' '.NET初级开发工程师' '.NET开发工程师，研发工程师'
 '系统开发工程师' 'netcore mvc后端开发' '.NET Core开发工程师' '.NET开发工程师（中级）' '后端开发工程师'
 '.Net Core开发工程师' '.NET后端开发工程师' 'C#开发工程师' '.NET开发经理' 'net开发'
 '.NET开发工程师（高并发高可用）' '.NET（实施）高级开发工程师' '高级后端开发工程师' '.NET后端开发' 'NET开发工程师'
 'crm开发' '金蝶ERP二次开发工程师' 'U9开发顾问' '中级net开发工程师' '高级NET开发工程师'
 '高级 .NET Core 开发工程师 (深圳)' 'WMS开发主管' '.NET(C#/WPF)开发工程师' 'MES开发工程师'
 '.NET开发工程师中级' 'ERP系统开发（NET）' '资深.NET开发工程师' '初级.NET开发工程师' '.Net后台开发工程师'
 '.NET中级开发工程师' '.NET开发技术员' '.NET高级开发工程师' '资讯系统及应用开发工程师' 'erp技术开发'
 '.Net/C# 后端开发' '.NET开发（VUE/上市公司/可快速到岗）' 'ASP.NET 开发工程师' '开发工程师'
 '中级.NET开发工程师' '.NET开发工程师（初级）' 'Android开发工程师' '急招Python开发工程师' 'wcs开发工程师'
 'NET开发工程师（net Core）' '金蝶K3CIoud二次开发工程师' '.NET开发工程师（高级）' '初级net开发工程师'
 '.NET开发主管' 'RPA中级开发工程师' 'WPF开发工程师' 'RPA开发工程师' '.NET开发' 'ASP.Net开发工程师'
 '开发工程师（.NET/C#等）' '高级net开发工程师' '.NET 高级开发工程师' 'erp开发工程师' 'C#桌面开发工程师'
 '.NET开发工程师（外包）' '中高级开发工程师' '.NET 开发工程师' 'dynamics crm开发' 'C#/.NET开发工程师'
 '高级后台开发工程师（深圳）' 'mes开发工程师' 'ASP.NET高级开发工程师' 'C#.NET开发工程师，B/S-C/S 10-15K'
 '【上海】高级Python开发工程师' 'Python开发' 'Hadoop开发工程师' '实时计算开发工程师'
 'Hadoop开发工程师-数据平台-上海(J17804)' '网站程序员网页开发技术员' 'C# Winform开发工程师' '后端开发'
 'C# 高级开发工程师' '推荐系统开发工程师' '.NET 后端开发工程师' '.Net 高级开发工程师'
 '.NET开发工程师/PHP开发工程师' '数据平台开发工程师（安全方向）' '.Net开发工程师（WinForm方向）'
 'Hadoop高级开发工程师' 'Hadoop/Java开发工程师' '数据平台开发工程师' 'Python开发工程师' '图开发工程师'
 '高级ASP.NET开发工程师' 'Java开发工程师' '开发' '中间件开发工程师（kafka）' '数据开发'
 '推荐系统Java开发工程师' '高级Hadoop开发工程师' 'Hadoop 源码开发工程师' '数据中台高级后端开发工程师'
 'Hadoop开发_深圳' 'Hadoop Yarn源码开发(Java语言)' 'Alluxio 开发工程师' 'spark开发工程师'
 'Java数据平台开发工程师' '推荐系统开发工程师Java' 'Ambari系统服务集成开发工程师'
 'Hadoop开发工程师 (MJ006605)' '计算引擎高级开发工程师' 'Iceberg / Hudi / DeltaLake 引擎开发'
 'AI-agent开发工程师' '高级后台开发工程师（用户增长）' 'Hadoop平台计算引擎开发工程师' '数据开发组长' 'RPA开发经理'
 'Python开发工程师（Python/Go）' '后台（Python）开发工程师' '后端开发实习生' '流计算开发'
 '高级（实时/离线）计算开发工程师' '资深沙盒系统开发工程师' '公共出行-后台开发（高级）工程师' 'CAE开发工程师'
 '数据产品开发工程师' '建模开发工程师' '数据平台开发工程师（实时计算方向）' 'rpa开发工程师' '资深后端开发工程师'
 '仿真开发工程师' 'Python开发工程师--实习生' 'PYTHON 开发工程师（企业内部系统）' '大模型应用开发工程师'
 'Python 开发工程师' 'Python后端开发工程师' 'Python后台开发' 'odoo开发工程师' '实时数据开发工程师'
 '腾讯云网络后台开发' 'Python开发助理工程师' '高级Python开发工程师' 'OpenStack开发工程师'
 'Python开发（短期项目可转正式员工）' '量化系统开发工程师' '爬虫开发工程师' 'Python Web 高级开发工程师'
 '客户端开发工程师' 'Python后端开发' 'OA开发负责人' 'rpa开发工程师（兼职）' '后端开发工程师——Python'
 'Python web 后端开发' 'openstack开发工程师' 'Python开发工程师-航天外包'
 '策略组合管理开发工程师 (MJ000765)' '高级开发工程师(五险一金/周末双休/15~20K)' 'RPA开发工程师(英文)']"
9,网络安全,['网络安全开发工程师']
