,Normalized Job Title,Job Titles
0,,['软件开发工程师' '软件工程师' '软件开发' '开发工程师' '开发']
1,3d打印,['3D打印软件工程师']
2,aiagent,['AI-agent开发工程师']
3,ai大数据,['AI大数据工程师']
4,ai大模型产品工程化,['AI大模型产品工程化']
5,ai大模型后端,['AI大模型后端工程师']
6,ai工程 边缘计算北京,['AI工程 - 边缘计算工程师（北京）']
7,ai教育,['AI教育软件开发工程师']
8,alluxio,['Alluxio 开发工程师']
9,ambari系统服务集成,['Ambari系统服务集成开发工程师']
10,android,['Android开发工程师']
11,aspnet,"['ASP.NET软件开发工程师' 'ASP.NET开发工程师' 'ASP.net开发工程师' 'ASP.NET 开发工程师'
 'ASP.Net开发工程师']"
12,aspnet core 研发,['ASP.NET Core 研发工程师']
13,aspnet mvc,['asp.net mvc软件工程师']
14,aspnet全栈,['asp.net全栈开发工程师']
15,aspnet程序员,['ASP.NET程序员']
16,aspnet高级,['ASP.NET高级开发工程师']
17,bi,['bi工程师']
18,big data大数据,['Big Data大数据开发']
19,c,['C#' 'C#开发工程师']
20,c winform,['C# Winform开发工程师']
21,c 高级,['C# 高级开发工程师']
22,cae,['CAE开发工程师']
23,cnet,"['C#/net' 'C#.Net软件开发工程师' 'C#.NET软件开发工程师' 'C#.net' 'C#.NET软件工程师'
 'C#/.NET开发工程师']"
24,cnetbscs 1015k,['C#.NET开发工程师，B/S-C/S 10-15K']
25,crm,['crm开发' 'CRM工程师']
26,c桌面,['C#桌面开发工程师']
27,c语言net,['c语言.net软件开发工程师']
28,c高级,['C#高级开发工程师']
29,django海淀,['Django海淀']
30,dynamics crm,['dynamics crm开发']
31,dynamics365,['Dynamics365']
32,erp,['erp开发工程师' 'ERP软件工程师']
33,erp二开,['ERP二开工程师']
34,erp技术,['erp技术开发']
35,erp系统net,['ERP系统开发（NET）']
36,etl,['ETL工程师']
37,etl大数据方向,['ETL工程师-大数据方向']
38,hadoop,"['Hadoop' 'Hadoop开发工程师' 'Hadoop工程师' 'hadoop 工程师' 'Hadoop 软件开发工程师'
 'Hadoop软件开发工程师']"
39,hadoop admin,['Hadoop Admin']
40,hadoop architect,['Hadoop Architect']
41,hadoop mj006605,['Hadoop开发工程师 (MJ006605)']
42,hadoop sre,['Hadoop SRE工程师']
43,hadoop yarn源码java语言,['Hadoop Yarn源码开发(Java语言)']
44,hadoop 源码,['Hadoop 源码开发工程师']
45,hadoopjava,['Hadoop/Java开发工程师']
46,hadoopspark引擎研发,['Hadoop/Spark引擎研发']
47,hadoop中级运维,['Hadoop中级运维开发工程师']
48,hadoop大数据,"['hadoop大数据开发工程师' 'Hadoop大数据开发工程师' 'hadoop大数据工程师' 'Hadoop大数据工程师'
 'Hadoop大数据开发']"
49,hadoop大数据平台运维专家,['hadoop大数据平台运维专家']
50,hadoop大数据讲师hadoopstormspark,"['Hadoop大数据讲师，Hadoop,Storm,Spark']"
51,hadoop平台计算引擎,['Hadoop平台计算引擎开发工程师']
52,hadoop数据平台上海j17804,['Hadoop开发工程师-数据平台-上海(J17804)']
53,hadoop架构师,['hadoop架构师' 'Hadoop架构师']
54,hadoop深圳,['Hadoop开发_深圳']
55,hadoop研发,['Hadoop研发工程师']
56,hadoop系统研发,['Hadoop系统研发工程师']
57,hadoop系统研究员,['hadoop系统研究员']
58,hadoop舆情大数据,['Hadoop舆情大数据开发工程师']
59,hadoop运维,['Hadoop运维工程师']
60,hadoop运维 mj006604,['Hadoop运维工程师 (MJ006604)']
61,hadoop高级,['Hadoop高级开发工程师']
62,hbase运维,['hbase运维工程师']
63,iceberg hudi deltalake 引擎,['Iceberg / Hudi / DeltaLake 引擎开发']
64,it程序员,['IT程序员']
65,java,['Java开发工程师' 'Java工程师' 'java开发']
66,java大数据,['java大数据开发工程师']
67,java大数据讲师,['java大数据讲师']
68,java数据平台,['Java数据平台开发工程师']
69,java研发用户画像方向,['Java研发工程师-【用户画像方向】']
70,java高级,['java高级开发工程师']
71,kafka,['kafka']
72,linux cpppython,['linux 开发工程师-cpp-python']
73,mes,['MES开发工程师' 'mes开发工程师']
74,mes高级,['mes高级工程师']
75,mts 1 software engineerhadoop,"['MTS 1, Software Engineer-Hadoop']"
76,net,"['.NET 工程师' '.net 开发工程师' '.net软件工程师' '.NET' '.NET开发工程师' '.net开发工程师'
 '.net开发' '.net软件开发工程师' '.NET 软件开发工程师' 'net开发工程师' '.Net开发工程师' '.NET工程师'
 '软件工程师.net' 'net开发' '.net工程师' '.net' 'NET开发工程师' '.NET软件开发工程师'
 '.NET 软件工程师' '.Net软件工程师' '.NET开发' '.net 软件开发工程师' '.NET 开发工程师' '.NET软件工程师']"
77,net c,['.net C#开发' '.Net C# 软件工程师']
78,net core,"['.NET Core开发工程师' '.net core开发工程师' '.Net Core开发工程师' '.Net Core 开发工程师'
 'Net Core 软件工程师' 'NET Core工程师' '.NET Core']"
79,net core中高级,['.NET Core中高级软件工程师']
