职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期,工作内容,任职资格,技术栈
后端开发工程师（.net）-24届,深圳南山区科兴科学园A2单元1505,本科,在校/应届,,10-15K·14薪,互联网,,500-999人,C轮,招聘中,全职,软件开发 —— .NET ：1、在指导下开展编码及单元测试；2、协助团队完成相关开发工作；3、根据设计文档、开发规范进行功能编码工作和修复产品BUG，并保障编码质量和可维护性；任职资格：1、2024届应届毕业，计算机软件相关专业本科及以上学历；2、熟练掌握.Net (C#)，有相关编程项目经验优先；3、具备良好的沟通能力、逻辑思维能力，有较强的团队协作意识，能承受一定工作压力。,奥哲是一家以低代码开发平台为核心的云计算产品与方案提供商，帮助企业和组织构建以客户为中心的智能运营能力、以员工为中心的智慧管理能力，让企业与组织通过业务、管理在线实现数字化经营。旗下拥有适用于全行业的三大产品H3 BPM、云枢和氚云，已经帮助超过10万家企业构建核心竞争力，重塑未来企业。1、公司网址：https://www.authine.com/。2、融资情况：A轮：2017年12月，获加法创投4000万元融资；A+轮：2018年5月，获阿里巴巴5000万元融资；B轮：2019年3月，获高榕资本亿元级融资；B+轮：2020年10月，获华创资本、华泰创新领投，宜信产业基金、老股东高榕资本持续跟投2亿元。3、公司使命：技术驱动企业与组织经营数字化、智能化。4、公司愿景：成为推动企业与组织进步的世界级科技公司。 5、公司相关报导： （1）亿欧网 | 奥哲网络获高榕资本亿元B轮融资，低代码平台赋能企业业务在线 : https://www.authine.com/news73/15.html （2）36氪 | 用“低代码”实现应用系统快速开发，「奥哲网络」已服务10万+企业，年营收过亿元：https://www.authine.com/news73/40.html （3）奥哲网络获阿里5000万A+轮融资，持续助力企业创新管理：*********************************〖我们的福利〗【工作时间】 五天7.5小时工作制【法定假期】 国家法定假日，带薪年假，带薪病假；【薪酬福利】 具有行业竞争力的薪资、绩效奖金、年终奖，股票期权激励；每年加薪次数不限；【社会保障】 社保（综合医疗）+住房公积金+商业保险，健康体检；【生活补助】 免费提供晚餐，加班到22：00后打车可免费打车；【节日福利】 结婚礼金，员工住院问候金，儿童节给家里的小朋友准备礼物，重大节日公司将为每一位员工准备节日礼品；【岗位培训】 各类职业培训，晋升，提升行业视野与个人能力；【团队建设】 每年至少四次或以上旅游，聚餐，K歌，看电影，篮球赛，节日活动，年终尾牙等等活动,https://www.zhipin.com/gongsi/76cd022ab07742653nRy2tW7.html,https://www.zhipin.com/job_detail/2671b5fc8bbe907c1HZ72dq7FFZW.html,2024-05-14 23:45:19,"
：
1. 在指导下开展编码及单元测试；
2. 协助团队完成相关开发工作；
3. 根据设计文档、开发规范进行功能编码工作和修复产品BUG，并保障编码质量和可维护性。","
任职资格：
1. 2024届应届毕业，计算机软件相关专业本科及以上学历；
2. 熟练掌握.Net (C#)，有相关编程项目经验优先；
3. 具备良好的沟通能力、逻辑思维能力，有较强的团队协作意识，能承受一定工作压力。","

1. .Net (C#)
2. 编程项目经验"
数仓工程师,北京朝阳区冠捷大厦(西北门)10层,本科,3-5年,,20-40K·16薪,人力资源服务,,1000-9999人,已上市,招聘中,全职,熟练使用SQL，hive，熟悉Hadoop生态圈,BOSS直聘是一款在全球范围内率先发展移动互联网“直聘”模式的在线招聘APP，于2014年7月上线，2021年6月在纳斯达克上市。BOSS直聘致力于用技术的手段和用户第一的服务理念，为招聘者和求职者搭建高效、便捷、易用的求职招聘的平台。BOSS直聘产品的核心是“移动+智能匹配+直聊”，通过将在线聊天功能引入招聘场景，让应聘者和用人方直接沟通，让招聘最终决策者直接参与线上招聘，跳过传统的冗长环节，提升效率。BOSS直聘应用前沿人工智能技术，不断追求岗位与人才的多维度的智能匹配，提升招聘效果。,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html,https://www.zhipin.com/job_detail/2cf298fbe2f9c8451nJ93t-5GVdY.html,2024-05-15 02:53:42,"
：
1. 熟练使用SQL进行数据查询、分析和处理。
2. 熟悉Hive，能够进行数据仓库的构建和管理。
3. 熟悉Hadoop生态圈，包括但不限于HDFS、MapReduce、YARN等组件，能够进行大数据处理和分布式计算。
4. 能够进行数据清洗、转换和加载，确保数据质量和完整性。
5. 参与数据模型的设计和实现，为业务部门提供数据支持。
6. 负责数据监控和性能优化，确保数据服务的稳定性和高效性。
7. 与其他部门协作，共同推进数据项目的实施和落地。","
任职资格：
1. 熟练使用SQL和Hive。
2. 熟悉Hadoop生态圈。","

1. SQL
2. Hive
3. Hadoop生态圈"
.net开发工程师,深圳龙岗区中宝通智能大厦902,本科,1-3年,,12-13K,计算机软件,,0-20人,,招聘中,全职,根据需求完成公司项目编码工作可以与需求分析师进行无缝对接需求功能对c#熟悉，熟悉sqlserver数据库熟悉jquey bootstrap等前端技术,,https://www.zhipin.com/gongsi/707710cab3afdf491XZ92926EFs~.html,https://www.zhipin.com/job_detail/3e2a744fd15db0d41XB52Nq8F1FY.html,2024-05-15 00:00:28,"
：
1. 根据需求完成公司项目编码工作。
2. 与需求分析师进行无缝对接，确保需求功能的准确实现。
3. 熟练掌握C#编程语言。
4. 熟悉SQL Server数据库操作。
5. 熟悉并能够应用jQuery和Bootstrap等前端技术。","
任职资格：
1. 具备完成公司项目编码工作的能力。
2. 能够与需求分析师进行无缝对接，理解并实现需求功能。
3. 熟悉C#编程语言。
4. 熟悉SQL Server数据库。
5. 熟悉jQuery和Bootstrap等前端技术。","

1. C#
2. SQL Server
3. jQuery
4. Bootstrap"
软件工程师,深圳宝安区鹏鼎控股1,本科,经验不限,,8-13K,通信/网络设备,,10000人以上,已上市,招聘中,全职,一、任职要求：1.本科以上学历，3年以上系统维护及开发经验2.熟悉.软件操作3.熟悉数据库二、：1.应用系统、智能系统及软件开发与维护2.新系统测试与导入,"公司介绍 公司成立于1999年4月29日，并于2018年9月18日在深圳证券交易所上市,股票简称“鹏鼎控股”,股票代码002938。 公司主要从事各类印制电路板的设计、研发、制造与销售业务。产品广泛应用于通讯产品、计算机、消费性电子及各类3C电子等产品。 鹏鼎控股的制造基地分布于深圳、秦皇岛、淮安，服务半径覆盖中国大陆、中国香港、中国台湾、日本、韩国、美国及越南等地，可以为全球客户提供高速、高质、低成本及高附加值的PCB设计、开发、制造及销售服务，满足客户「one stop shopping」的需求 公司以“发展科技、造福人类，精进环保、让地球更美好”为使命，多年来致力于与世界一流客户合作，通过运用先进的研发技术，配合高效率、低成本的运营手段，构建出一个体系完善、布局合理的PCB 产供销体系，打造了“效率化、合理化、自动化、无人化”的现代化工厂，成为业内极具影响力的重要厂商之一，在行业享有非常高的知名度。 公司高度重视研究开发工作,在深圳市设有研发中心,公司不断加强产学研合作，截止目前已与包括清华大学深圳研究生院、北京大学深圳研究生院、中山大学、哈尔滨工业大学（深圳）、深圳大学等大陆知名高校以及台湾工业技术研究院、台北科技大学、成功大学、台湾清华大学、中兴大学及中原大学等多所台湾地区知名学府及研究机构进行研发合作，截止目前，公司已获得国内外授权专利数600余件。 根据Prismark 2018年2月最新报告统计的以营收计算的全球PCB企业排名，公司已成为全球第一大PCB企业。",https://www.zhipin.com/gongsi/76551dc7be40d6543nF63Ny4.html,https://www.zhipin.com/job_detail/6e7efd5e35b32cfd1XV93Nq_FFJQ.html,2024-05-14 23:58:11,"
：
1. 应用系统、智能系统及软件开发与维护
2. 新系统测试与导入","
任职资格：
1. 本科以上学历
2. 3年以上系统维护及开发经验
3. 熟悉软件操作
4. 熟悉数据库","

1. 系统维护及开发经验
2. 软件操作
3. 数据库"
.NET 工程师,深圳龙华区1970文化创意产业园c511,大专,3-5年,,15-20K,计算机软件,,20-99人,未融资,招聘中,全职,.NET，C#，SQL1.计算机软件相关毕业，2年以上工作经验，从事大型软件产品开发；2.精通Asp.net或.net core开发，能编写高质量代码，文档规范，思路清晰；3.熟悉SQL Server数据库，有较强的数据库设计及SQL编写能力；4.能够读写英文文档及邮件；5.端正积极的工作态度，具备优秀的团队合作精神，和强烈的责任感。,总是有一些奇思妙想突然冒出来，让你摩拳擦掌？总是觉得自己的激情没有得到充分的燃烧？我们反对教条，喜欢有挑战的你；我们拒绝平庸，喜欢有创造性的你；加入我们，让我们一起成长。深圳市速易特科技有限公司创建于2009年，是一家专门从事电商ERP开发的软件公司。软件产品“SellingExpress”集成了Amazon、eBay、Wish、Shopify等多个平台，经过多年的努力与实践，我们已经在电商行业积累了丰富的经验，业务遍布海内外。2020年12月公司在武汉成立了新的研发中心。,https://www.zhipin.com/gongsi/b2ee3180f093ba6733B63d-9GA~~.html,https://www.zhipin.com/job_detail/77e473de6ffcea151nV_2du4EVJT.html,2024-05-15 00:40:21,"
：
1. 负责大型软件产品的开发工作，使用.NET和C#进行编程；
2. 精通Asp.net或.net core开发，编写高质量代码，确保代码规范和思路清晰；
3. 熟悉SQL Server数据库，具备较强的数据库设计和SQL编写能力；
4. 能够读写英文文档及邮件，进行有效的沟通和协作；
5. 保持端正积极的工作态度，具备优秀的团队合作精神和强烈的责任感。","
任职资格：
1. 计算机软件相关毕业，2年以上工作经验，从事大型软件产品开发；
2. 精通Asp.net或.net core开发，能编写高质量代码，文档规范，思路清晰；
3. 熟悉SQL Server数据库，有较强的数据库设计及SQL编写能力；
4. 能够读写英文文档及邮件；
5. 端正积极的工作态度，具备优秀的团队合作精神，和强烈的责任感。","

1. ASP.NET 或 .NET Core 开发
2. SQL Server 数据库
3. 英语读写能力"
.net core开发工程师,深圳南山区TCL国际E城F5栋8楼,大专,3-5年,,12-16K,计算机软件,,100-499人,A轮,最新,全职,.net core开发工程师任职要求：1、计算机、数学、电子信息等计算机相关专业；2、4年以上工作经验；：1.主要负责公司项目产品的后台开发，根据产品经理以及设计师的原型开发满足需求的功能。2.功能逻辑的设计规划和实现；3.编码、单元测试以及相关文档的编写；职位福利：五险一金一档社保、餐补、带薪年假、节日福利、下午茶、生日会、周末双休、项目奖金、弹性工作。工作时间：周一至周五08：30/09：00-12；00 午休1.5小时 13：30-18：00/18：30 半小时灵活上班时间。,鹏锐技术2012年成立于创新之都-鹏城-深圳，核心成员来自于中广核、AVEVA、腾讯、华为。服务于发电、电网、石油石化等资产密集型流程工业。主要产品为可视化主数据管理、工业大数据、工业物联网以及以此为基础的各类智慧化应用。鹏锐技术独立研发了具有完全自主知识产权的WIZ系列产品，形成了WIZ工程全生命周期解决方案（WIZ Solution），在多个行业领先企业和项目中成功应用。国家高新技术企业，通过ISO9001质量管理体系、ISO27001信息安全管理体系、ISO14001环境质量体系CMMI5软件能力成熟集成模型等资质认证。由业内资深专家和技术骨干组成核心团队，具有十三年合作经验。基于最佳工程实践，使用敏捷开发模式，让行业经验与软件优势相结合。,https://www.zhipin.com/gongsi/5e5c5c06b3469b6e1nV62dW8Ew~~.html,https://www.zhipin.com/job_detail/ddcc06ebdfed1d391XF60tS-FVVX.html,2024-05-14 23:43:47,"
：
1. 负责公司项目产品的后台开发，根据产品经理以及设计师的原型开发满足需求的功能。
2. 进行功能逻辑的设计规划和实现。
3. 编码、单元测试以及相关文档的编写。","
任职资格：
1. 计算机相关专业，如计算机、数学、电子信息等；
2. 具备4年以上工作经验。","

1. 计算机基础知识
2. 数学基础
3. 电子信息基础
4. 4年以上工作经验"
.net开发工程师,深圳龙岗区春湖工业区10栋,大专,1-3年,,10-15K,计算机软件,,20-99人,未融资,招聘中,全职,职位描述：1.负责公司ERP系统设计、开发、测试、维护工作，完成完整系统测试与部署；2.完成DotNET服务应用开发，能够编写多线程、消息通讯的Web服务；3.上级交给的其他工作任务。任职资格：1.大专以上学历，计算机、软件等相关专业优先；2.DotNET开发三年经验以上；3.熟悉SQLServer数据库及基本SQL应用；4.思路清晰，自学能力强，善于分析，独立解决问题，具有良好的团队协作精神；5.有java、Mysql开发经验更佳。,深圳前海思佳智能有限公司成立于2019年，由中国最大规模书刊商业印刷企业“中华商务”投资成立。思佳智能从创立之日起即致力于把基于先进信息技术的管理与业务实践普及到客户的管理与业务创新活动中，全面提供具有自主知识产权的ERP企业管理软件服务与解决方案；秉承“中华商务”百年企业的精髓，思佳智能以开发新的技术领先产品为核心竞争优势，以ERP为主要应用平台，针对不同客户需求，做出不同产品组合和延伸，满足企业快速，敏捷的需求。 公司致力于人才成长，构建全面的发展平台。我们秉承开拓创新、合作共赢的人才管理理念，邀请优秀人士加入我们的团队，共创美好的未来。,https://www.zhipin.com/gongsi/71faba4e3beb15d833Jy09m-EQ~~.html,https://www.zhipin.com/job_detail/e41b2544aaf78c1e3nFz3NS9GVo~.html,2024-05-14 23:59:43,"
：
1. 负责公司ERP系统的设计、开发、测试和维护工作，确保系统测试的完整性和部署的顺利进行；
2. 完成DotNET服务应用的开发，包括编写多线程和消息通讯的Web服务；
3. 执行上级分配的其他工作任务。","
任职资格：
1. 大专以上学历，计算机、软件等相关专业优先；
2. DotNET开发三年经验以上；
3. 熟悉SQLServer数据库及基本SQL应用；
4. 思路清晰，自学能力强，善于分析，独立解决问题，具有良好的团队协作精神；
5. 有java、Mysql开发经验更佳。","

1. DotNET开发
2. SQLServer数据库
3. SQL应用
4. Java开发
5. Mysql开发"
.NET开发工程师,深圳宝安区昊阳天宇科技深圳有限公司(南门)ABCD栋,大专,1-3年,,7-12K,仪器仪表/工业自动化,,1000-9999人,已上市,招聘中,全职,岗位要求：1、大专及以上学历，计算机专业优先；2、2年以上.net开发经验；3、熟练使用C#编程语言；4、有过大型软件和后台管理系统开发经验，能独立进行开发，熟悉软件开发流程；5、掌握MySQL、SQL Server等数据库相关技术，能熟练编写视图、存储过程等：1、组织开展部门研发工作；2、负责系统后台管理端以及移动端的设计、编码与维护工作；3、维护和升级现有软件产品，快速定位并修复现有软件缺陷；工作时间：每周5天，周末双休,"昊阳天宇科技（深圳）有限公司-成立日期：于2005年8月在深圳市石岩街道成立。-注册资本：美金4,450万元，折合人民币约3.18亿元。-生产产品：亿太网络交换机、路由器、无线Wi-Fi基地台等高科技产品。-生产规模及员工人数：17条自动化生产线，19条组装测试线，员工约2000人。-企业资质：深圳市直通车企业、连续五年荣获深圳市工业百强企业、曾获得亚洲最佳企业社会责任奖等。-公司环境及福利：*公司地处深圳市宝安区石岩同富裕工业区，交通便利，工作及生活环境属园林化示范区域，背面靠山，空气清新，环境优美舒适。*具有市场竞争力的薪酬福利体系及完善的培训体系、晋升体系*依法带薪年假、各种有薪假及五险一金办理*每月开展各类文化活动：各类文体赛事、各类兴趣小组活动(瑜珈/插花/书法/亲子会等等)、季度生日会、青工活动、年度旅游、逢重大节日各类晚会等*免费提供住宿，宿舍配套设施完善齐全(独立储物柜、卫生间、冲凉房、空调、风扇、书桌等*公司内部设有饭堂、福利超市、篮球场、图书室、健身房、台球室、ATM提款机。",https://www.zhipin.com/gongsi/38d08f6fb0f8d6581XZ63dS9Fg~~.html,https://www.zhipin.com/job_detail/f591bed23d536eb21XR43ty7FFZY.html,2024-05-14 23:41:53,"
：
1. 组织开展部门研发工作；
2. 负责系统后台管理端以及移动端的设计、编码与维护工作；
3. 维护和升级现有软件产品，快速定位并修复现有软件缺陷。","
任职资格：
1. 大专及以上学历，计算机专业优先；
2. 2年以上.NET开发经验；
3. 熟练使用C#编程语言；
4. 有过大型软件和后台管理系统开发经验，能独立进行开发，熟悉软件开发流程；
5. 掌握MySQL、SQL Server等数据库相关技术，能熟练编写视图、存储过程等。","

1. C#
2. .NET
3. MySQL
4. SQL Server
5. 大型软件和后台管理系统开发经验"
.NET开发工程师,深圳南山区卓越前海壹号B座802室,大专,经验不限,,8-12K,互联网,,100-499人,A轮,招聘中,全职,工作职责：1、根据需求文档，准确理解客户业务，设计系统的功能、表单、流程、报表等；2、具有较好的数据分析素养，能够进行业务相关数据采集的设计、开发；3、通过API与其他系统或服务进行对接，或其它较简单的二次开发；4、响应用户需求，为用户处理解决新增优化需求；5、解答用户问题，收集常见问题录入知识库。任职要求：1、大专及以上学历，计算机/软件/通信工程/数据分析/电信工程等理工科相关专业；2、良好的逻辑思维和理解能力；3、要求会C#开发语言，会.net core。薪资福利1.工作时间：五天8小时制，周末双休，按国家节日放假；2.舒适的办公环境+持续的培训提升+畅通的晋升渠道；3.公司氛围活跃，团队年轻，不定时的团队建设、下午茶、每月生日会；4.公司的激励方案丰富（现金、礼品、旅游......）。,保游网（www.baoyouwang.com）成立于2015年，是一家互联网保险服务平台，总部位于深圳，目前在上海、成都、洛阳、广州、郑州均设有分支机构，且在河南设有全国客户服务中心，7*24小时服务。保游网专注于旅游、户外体育、营地研学、拓展团建等行业风险分析，针对性设计上百款保险产品，覆盖全方位的活动类型及风险，可为企业提供意外险、场地险、组织责任险、企业责任险等综合风险解决方案，最大程度降低企业风险，目前已服务国内9万+行业机构，超1亿人次C客。关于“保游网”福利~1）奖金 + 每月定期2次大礼包及生活用品发放 + 年终奖金；2）完善的调薪晋升机制，并提供个人培训学习机会(内部培训、外部培训)；3）生日福利、节日福利、拓展旅游、部门活动、年终福利、六险一金、出国旅游等；4）公司氛围活跃，年轻有活力的团队，领导好相处；5）员工享有国家法定节假日的休假政策，同时并享有婚假、产假、丧假、带薪年假等。——更有“保游俱乐部”等你一起来见证更多的美好与精彩！“阳光正暖，不负遇见“少年的肩应该担起草长莺飞和明月清风；女孩的眼，应该藏下星辰大海和万丈光芒。在这充斥浮躁和喧嚣的世界，你是否想摆脱缠绕全身的迷惘？而最好的生活方式，是和一群志同道合的人一起奔跑在理想的路上，回头有一路的故事，低头有坚定的脚步，抬头有清晰的远方。让我们一起“趁年轻，做不一样的自己” 。如果你怀揣梦想，那请加入“保游网”和我一样，带着梦想，在合适位置上开启我们专注一生的事业吧！我会一直等着你...............—— I Want You ——,https://www.zhipin.com/gongsi/a87e81e3cc4f03b31Xx509u_.html,https://www.zhipin.com/job_detail/e993abb19b83ffe61nZ73Nq7FVJV.html,2024-05-14 23:56:25,"
：
1. 根据需求文档，准确理解客户业务，设计系统的功能、表单、流程、报表等；
2. 具有较好的数据分析素养，能够进行业务相关数据采集的设计、开发；
3. 通过API与其他系统或服务进行对接，或其它较简单的二次开发；
4. 响应用户需求，为用户处理解决新增优化需求；
5. 解答用户问题，收集常见问题录入知识库。","
任职资格：
1. 大专及以上学历，计算机/软件/通信工程/数据分析/电信工程等理工科相关专业；
2. 良好的逻辑思维和理解能力；
3. 熟悉C#开发语言，会.net core。","

1. C#
2. .NET Core"
.Net Core 开发工程师,深圳宝安区航亚跨境电商服务(深圳)有限公司310,大专,经验不限,,5-8K·13薪,电子商务,,20-99人,天使轮,招聘中,全职,工作内容：1、参与电商ERP系统后端开发任务；2、参加项目需求评审，完成模块开发工作；3、对完成的任务进行自测，负责维护修改bug。岗位要求：1、大专以上学历，计算机或软件工程相关专业；2、拥有.Net Core经验，并有完成项目开发经验；3、熟悉C#编程语言、.Net Core框架；4、熟悉MySQL和数据库设计，熟练运用Redis；5、熟悉Linux基本操作，熟悉Nginx理论及运用；6、熟悉Git代码管理工具；7、英语阅读能力优秀者优先。,"深圳市昌海电子商务有限公司是公司成立于创业之城深圳，自主研发“跨境电商+供应链整合模式”，专注东南亚电商平台。现依托于 Shopee、Lazada 等东南亚跨境电商平台，下设自主品牌“集鸿供应链”""航亚跨境""，涵盖国内外仓储物流。公司目前有跨境平台开发服务、店铺运营服务、国际货运代理服务、海外仓供应链服务、运营培训服务、店铺智能化管理系统及仓储ERP软件开发等七大板块。以深圳总部为中心，先后设立广州分公司、湖南常德分公司、河南郑州分公司、湖北武汉分公司、福建福州分公司，辐射国内商家，孵化国货品牌出海；依托集鸿供应链，于2020年5月开始，先后设立泰国曼谷海外仓、菲律宾马尼拉海外仓、马来吉隆坡海外仓、越南胡志明海外仓、台湾仓，服务国内大小商家上千家，日处理订单量超过万单。",https://www.zhipin.com/gongsi/369625394cd60d540XV62t6_Ew~~.html,https://www.zhipin.com/job_detail/623f0b1d4fa018741nB-2tW4ElVT.html,2024-05-14 23:53:44,"
：
1. 参与电商ERP系统后端开发任务；
2. 参加项目需求评审，完成模块开发工作；
3. 对完成的任务进行自测，负责维护修改bug。","
任职资格：
1. 大专以上学历，计算机或软件工程相关专业；
2. 拥有.Net Core经验，并有完成项目开发经验；
3. 熟悉C#编程语言、.Net Core框架；
4. 熟悉MySQL和数据库设计，熟练运用Redis；
5. 熟悉Linux基本操作，熟悉Nginx理论及运用；
6. 熟悉Git代码管理工具；
7. 英语阅读能力优秀者优先。","

1. .Net Core
2. C#
3. MySQL
4. Redis
5. Linux
6. Nginx
7. Git"
