职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期,工作内容,入职要求,技术栈
财务软件工程师,深圳南山区早安商务中心A座702,大专,1-3年,,8-11K,计算机软件,,20-99人,,招聘中,全职,"财务软件工程师任职要求：1、本科以上学历，计算机、财务、金融等相关专业；2、了解财务运作、 资金报表、合并报表、经营分析业务逻辑；3、了解后台运行逻辑,有3年以上财务模块开发经验；4、具有良好的沟通交流能力、需求分解能力和较强的抗压能力；5、熟悉c#，良好的编码和文档习惯，注重代码风格，熟悉各种设计模式和原则，能持续的关注和优化自己做的项目",,https://www.zhipin.com/gongsi/ef9c469ab066af6333J43du7Eg~~.html,https://www.zhipin.com/job_detail/0d27e744cc1f0ccd1Xx62NS-EFtS.html,2024-05-14 23:48:47,"工作要求：
1、了解财务运作、资金报表、合并报表、经营分析业务逻辑；
2、了解后台运行逻辑,有3年以上财务模块开发经验；
3、具有良好的沟通交流能力、需求分解能力和较强的抗压能力；
4、熟悉c#，良好的编码和文档习惯，注重代码风格，熟悉各种设计模式和原则，能持续的关注和优化自己做的项目；","工作要求：
1. 本科以上学历，计算机、财务、金融等相关专业；
2. 了解财务运作、资金报表、合并报表、经营分析业务逻辑；
3. 了解后台运行逻辑,有3年以上财务模块开发经验；
4. 具有良好的沟通交流能力、需求分解能力和较强的抗压能力；
5. 熟悉c#，良好的编码和文档习惯，注重代码风格，熟悉各种设计模式和原则，能持续的关注和优化自己做的项目。","技术栈:

1. C#
2. 设计模式和原则"
.NET 工程师,深圳龙华区1970文化创意产业园c511,大专,3-5年,,15-20K,计算机软件,,20-99人,未融资,招聘中,全职,.NET，C#，SQL1.计算机软件相关毕业，2年以上工作经验，从事大型软件产品开发；2.精通Asp.net或.net core开发，能编写高质量代码，文档规范，思路清晰；3.熟悉SQL Server数据库，有较强的数据库设计及SQL编写能力；4.能够读写英文文档及邮件；5.端正积极的工作态度，具备优秀的团队合作精神，和强烈的责任感。,总是有一些奇思妙想突然冒出来，让你摩拳擦掌？总是觉得自己的激情没有得到充分的燃烧？我们反对教条，喜欢有挑战的你；我们拒绝平庸，喜欢有创造性的你；加入我们，让我们一起成长。深圳市速易特科技有限公司创建于2009年，是一家专门从事电商ERP开发的软件公司。软件产品“SellingExpress”集成了Amazon、eBay、Wish、Shopify等多个平台，经过多年的努力与实践，我们已经在电商行业积累了丰富的经验，业务遍布海内外。2020年12月公司在武汉成立了新的研发中心。,https://www.zhipin.com/gongsi/b2ee3180f093ba6733B63d-9GA~~.html,https://www.zhipin.com/job_detail/77e473de6ffcea151nV_2du4EVJT.html,2024-05-15 00:40:21,"工作要求: 
1. 从事大型软件产品开发；
2. 精通Asp.net或.net core开发，能编写高质量代码，文档规范，思路清晰；
3. 熟悉SQL Server数据库，有较强的数据库设计及SQL编写能力；
4. 能够读写英文文档及邮件；
5. 端正积极的工作态度，具备优秀的团队合作精神，和强烈的责任感。","工作要求：
1. 计算机软件相关毕业，2年以上工作经验，从事大型软件产品开发；
2. 精通Asp.net或.net core开发，能编写高质量代码，文档规范，思路清晰；
3. 熟悉SQL Server数据库，有较强的数据库设计及SQL编写能力；
4. 能够读写英文文档及邮件；
5. 端正积极的工作态度，具备优秀的团队合作精神，和强烈的责任感。","技术栈:

1. Asp.net
2. .NET Core
3. SQL Server"
.NET开发工程师（中级）,广州越秀区广州浙江大厦9楼,大专,3-5年,,8-13K,计算机软件,,100-499人,未融资,招聘中,全职,岗位职责简述：1、 参与公司新产品的研发和设计；2、 参与公司现有产品的维护和升级；3、 配合领导共同完成安排的工作。岗位要求：1、专科以上学历，计算机相关专业，2年以上实际开发经验2、熟悉 .NET Core、SQL Server、Redis、RabbitMq，3、熟悉常见设计模式，有良好的代码编写习惯，4、能够独立思考和解决技术问题，喜欢钻研技术，能在开发过程中保持敏锐的思考，寻求最优解决方案，5、对技术充满热情、有团队合作精神6、有电商交易，营销活动开发，ERP进销存，WMS仓储开发经验的优先，熟悉微盟有赞等私域管理的优先福利待遇：1、上班时间：上午9：00-12：00、下午13:30-18:00（双休）。2、享受国家法定节假日和春节年假。3、健全的社保体系，提供五险及住房公积金。4、常年备有零食水果，不定期下午茶，不定期组织聚餐、团建活动5、传统节日派发礼品6、加班有加班费，加班包餐7、健全的晋升和培训机制，团队核心骨干有年底分红。上班地址：广州越秀区浙江大厦,"公司简介：广州鸿亿成立于2007年，由广州市鸿亿防伪产品有限公司、广州市猫态信息科技有限责任公司、广州市鸿猫企云科技有限公司组成。是专业从事防伪溯源管理、社交电商（微电商）管理系统、互联网+实体新零售（店）管理系统及企业各类应用管理软件开发与营销、防伪产品印刷的***高新技术企业。公司研发的防伪网络系统综合运用现代计算机技术，网络通讯技术、信息编码技术和高科技印刷技术，把信息产业的成果与防伪实践相结合，防伪与美观包装，防伪与营销相结合的理念，引领防伪技术达到一个新的高度。公司拥有软件著作版权20多个，是中国防伪行业协会理事会员单位、广东省名优企业打假协会会员单位，同时为广东省质量技术监督局、省标准化研究院、省WTO/TBT通报咨询研究中心技术支持单位，为商务部电子商务司《促进社交电商行业规范发展报告》重点调研单位之一。随着数字移动的普及、微商的快速崛起，公司以致力建设数据微商、助力品牌成长为己任；2013年鸿亿独立开发出全国***款《微商管理系统》,系统集防伪溯源、授权控价、订单管理、积分管理、大数据报表等多功能于一体，切实为企业解决假冒伪劣、规范市场秩序、丰富销售促销手段问题，在微商行业广泛应用。服务客户涉及日用品、图书、服装、医药、动漫、食品、化妆品、农业、汽配等众多行业。2014年，公司荣获奥飞企业年度***服务奖；2015年、2016年公司连续两年获合作企业颁发年度***创新奖；2016年，公司与微谷控股有限公司达成营销战略合作关系；2017年6月“鸿亿微商防伪系统”获中国微商十大创新奖。目前公司服务企业遍布全国，长期稳定服务客户已达2000余家，包括澜庭集、云南白药、美丽誓颜、浪莎、朵女郎、大时代、修正药业、同仁堂、Vshow 、ZuZu、花红药业、焕我生活、蜗蜗、中华灸等知名一线品牌，成为引领行业发展的领头企业。",https://www.zhipin.com/gongsi/88092c1b55df53f41nR93du5GQ~~.html,https://www.zhipin.com/job_detail/b274149deea7e7981XN53dm-F1NU.html,2024-05-14 23:17:39,"工作要求：
1. 参与公司新产品的研发和设计；
2. 参与公司现有产品的维护和升级；
3. 配合领导共同完成安排的工作。","工作要求：
1. 专科以上学历，计算机相关专业
2. 2年以上实际开发经验
3. 熟悉 .NET Core、SQL Server、Redis、RabbitMq
4. 熟悉常见设计模式，有良好的代码编写习惯
5. 能够独立思考和解决技术问题，喜欢钻研技术
6. 对技术充满热情、有团队合作精神
7. 有电商交易，营销活动开发，ERP进销存，WMS仓储开发经验的优先
8. 熟悉微盟有赞等私域管理的优先","技术栈:

1. .NET Core
2. SQL Server
3. Redis
4. RabbitMq"
.NET Core开发工程师,广州黄埔区纳金科技产业园H3座7楼,本科,1-3年,,8-13K,互联网,,100-499人,未融资,招聘中,全职,职责描述： 1.根据项目要求，承担子模块的开发任务，按计划完成目标。 2.负责编制与项目相关和产品相关的技术文档。 3.协助测试人员完成软件系统及模块的测试。任职要求： 1.大学本科及以上学历，计算机、软件、通信、自动化等相关专业，两年以上.NET Core应用开发项目经验；2.有扎实的编程基础，理解面向对象编程思想，熟悉常用设计模式，有良好的程序习惯；3.精通.NET Core相关技术，并熟悉Linux环境下.NET Core运行的相关配置；4.对跨平台、微服务、有一定的理解，有微服务编程经验者优先；5.熟悉SQLServer、MySQL、Redis等数据库，具有良好的SQL编写能力；6.良好的沟通能力；7.有实际项目经验的毕业生亦可。福利：五险一金、绩效奖金、年终奖金、餐饮补贴、交通补贴、节日福利、定期体检、带薪年假、周末双休,广州高谱技术有限公司是广东雅达电子股份有限公司（股票代码：430556）全资子公司，注册资本3000万元，位于广州市黄埔区纳金科技园。 广州高谱技术有限公司致力于为客户提供专业的智能仪表、系统集成、教育装备等产品开发、技术服务及整体解决方案。 公司历经二十多年的发展和积淀，雅达品牌在客户中赢得了良好信誉，获得了“广东省名牌产品”称号。产品广泛用于智能电网、通讯、数据中心、轨道交通、建筑、医院、学校、市政等领域。公司客户不胜枚举：华为、艾默生、阿里巴巴、腾讯、中兴通讯、中国铁塔等等。,https://www.zhipin.com/gongsi/20bd593be099fc511HFy0ty0EQ~~.html,https://www.zhipin.com/job_detail/9ed12272b0aba5dd1nN529q_E1VQ.html,2024-05-14 23:17:15,"工作要求：
1. 根据项目要求，承担子模块的开发任务，按计划完成目标。
2. 负责编制与项目相关和产品相关的技术文档。
3. 协助测试人员完成软件系统及模块的测试。","工作要求：
1. 大学本科及以上学历，计算机、软件、通信、自动化等相关专业
2. 两年以上.NET Core应用开发项目经验
3. 有扎实的编程基础，理解面向对象编程思想，熟悉常用设计模式，有良好的程序习惯
4. 精通.NET Core相关技术，并熟悉Linux环境下.NET Core运行的相关配置
5. 对跨平台、微服务、有一定的理解，有微服务编程经验者优先
6. 熟悉SQLServer、MySQL、Redis等数据库，具有良好的SQL编写能力
7. 良好的沟通能力","技术栈:

1. .NET Core
2. Linux
3. SQL Server
4. MySQL
5. Redis"
.net软件工程师,深圳龙华区云峰8号3楼305,大专,经验不限,,3-5K·13薪,计算机软件,,0-20人,未融资,招聘中,全职,"岗位职责：1.在直属领导的指导和监督下定期完成量化的模块编码工作；2.负责程序单元测试及相关技术文档编写；3.与团队成员进行有效沟通，协作完成项目岗位要求：1.有一定C#，.NET framework , Winform , ASP.NET，JavaScript、JQuery开发经验；2.具有主流数据库管理系统操作能力；3.工作积极主动，具有高度的热情和责任感；4.具有良好的学习、沟通能力和团队合作精神；5.在软件比赛中获奖、有企业项目实际开发经验或计算机成绩优秀者优先考虑。","深圳市迁云物联网科技有限公司成立于2017年专注于数据采集研发、物联网通讯设备研发,物联网云平台服务器,目前已形成完整产品研发、生产检测体系,为广大用户提供具有先进性、高品质、高性价比的产品。公司拥有多名资深的研发人员,囊括了硬件设计、软件设计以及云平台服务器设计工程师。 公司以自主研发各类成熟的方案和先进快速方便的物联网数据监控平台即时提供各类数据采集器,数据监控系统;致力于向用户提供高质量的产品,专业的技术支援及优质的售后服务。一切以客户的所想、所需为出发点,全心全意为客户的需要而量身定做了一系列的专业服务,从可行性方案的设计、产品的安装、使用、调试、售后、维护等。经过多年来的努力,公司以“应用为本,客户至上”,始终根据客户的实际需求,为客户量身订做最合适的产品与服务。",https://www.zhipin.com/gongsi/806629a7243943ed1nZ92ti8E1U~.html,https://www.zhipin.com/job_detail/b285edbf7c2569b51nRy3dm1GVRQ.html,2024-05-15 01:16:31,"工作要求： 
1. 在直属领导的指导和监督下定期完成量化的模块编码工作；
2. 负责程序单元测试及相关技术文档编写；
3. 与团队成员进行有效沟通，协作完成项目","工作要求：
1.有一定C#，.NET framework , Winform , ASP.NET，JavaScript、JQuery开发经验；
2.具有主流数据库管理系统操作能力；
3.工作积极主动，具有高度的热情和责任感；
4.具有良好的学习、沟通能力和团队合作精神；
5.在软件比赛中获奖、有企业项目实际开发经验或计算机成绩优秀者优先考虑。","技术栈:

1. C#
2. .NET Framework
3. Winform
4. ASP.NET
5. JavaScript
6. JQuery"
Java研发工程师-【用户画像方向】,北京海淀区快手总部快手总部,本科,1-3年,,20-40K·16薪,社交网络与媒体,,10000人以上,已上市,招聘中,全职,职位描述1、负责快手用户画像平台建设，涵盖标签管理、人群管理、画像分析等功能及基础服务建设；2、负责系统核心功能实现，涉及但不限于系统设计、程序开发、代码审查、联调测试；3、与产品、前端、上下游系统开发人员高效协作，保时保质地推动系统落地。任职要求1、计算机相关专业，1年及以上工作经验，有扎实的计算机基础知识和编程功底，良好的编码习惯；2、精通Java，掌握集合、IO、多线程、JVM等基础技术，对性能调优、故障处理等有较强处理能力；3、掌握MySQL、Redis、Flink、Kafka、Hive、ClickHouse等开源软件和框架，至少熟悉其中两项，精通加分；4、有团队精神，有Owner意识，有较强的执行力和一定的抗压能力；5、有较强的逻辑思维能力，善于分析、归纳、解决问题，持续学习和总结，自我迭代。,快手是领先的内容社区和社交平台，是短视频行业开创者与引领者。快手致力于创造一个温暖和信任的社区，让更多普通人拥有表达和被看见的机会，并由此培育了繁荣与高互动的社区生态，每天有上千万优质内容上传。,https://www.zhipin.com/gongsi/480261c022ea03d81nV53tQ~.html,https://www.zhipin.com/job_detail/af6f09d9b06971a91HR839q-GVtV.html,2024-05-14 15:13:35,"工作要求：
1. 负责快手用户画像平台建设，涵盖标签管理、人群管理、画像分析等功能及基础服务建设；
2. 负责系统核心功能实现，涉及但不限于系统设计、程序开发、代码审查、联调测试；
3. 与产品、前端、上下游系统开发人员高效协作，保时保质地推动系统落地。","工作要求：
1. 计算机相关专业，1年及以上工作经验，有扎实的计算机基础知识和编程功底，良好的编码习惯；
2. 精通Java，掌握集合、IO、多线程、JVM等基础技术，对性能调优、故障处理等有较强处理能力；
3. 掌握MySQL、Redis、Flink、Kafka、Hive、ClickHouse等开源软件和框架，至少熟悉其中两项，精通加分；
4. 有团队精神，有Owner意识，有较强的执行力和一定的抗压能力；
5. 有较强的逻辑思维能力，善于分析、归纳、解决问题，持续学习和总结，自我迭代。","技术栈:

1. Java
2. MySQL
3. Redis
4. Flink
5. Kafka
6. Hive
7. ClickHouse"
.net开发,广州海珠区T28创展中心二楼e03,大专,5-10年,,9-13K,移动互联网,,0-20人,未融资,招聘中,全职,"岗位职责：功能开发(独立解决问题能力)1、负责日常产品迭代开发和维护任职资格：30岁以上优先1、2年以上saas产品开发(多租户)或电商平台工作经验；2、熟练.net core 、EF开发和高并发开发经验。3、熟练Mysql数据库；4、具有较强责任心, 具有团队合作精神, 自学能力强，有创新探索能力；5、需要有前端小程序和vue开发基本经验，有全栈能者优先","蚁鸣团队主要是来自各大互联网和零售公司,且有数十年的产品，运营，研发成功经验 。 作为一家服务于中小实体企业的移动互联网公司，公司专注于企业供应链的成本、效率、增收。我们致力于为“企业转型升级”提供靠谱的工具。公司已有成熟的产品和服务体系；“蚁鸣校服通”是一款智慧供应链SaaS系统，同时满足商家、学校、家长和管理者等不同角色的权益。致力于聚集一帮有教育梦想的同仁，为中小学生成长的优良环境贡献一份力量；同时助力校服企业转型升级；目前已助力数十家校服企业成功转型升级；而且我们还在不停的加速进步中；“店天眼”是集AI技术的一款基于视觉和视觉大数据工具，助力连锁品牌数字化决策、智能化经营；目前已服务国内数十个知品牌；“联营开发”致力打造垂直行业专属的SAAS解决方案专家；目前已与五家在细分领域有影响力的企业战略合作，致力打造细分领域的平台，以便于助力行业蓬勃发展",https://www.zhipin.com/gongsi/b2c1ea666aa8358703Ny3t21.html,https://www.zhipin.com/job_detail/de6cdd32d537817d1nB93N61FFM~.html,2024-05-14 23:20:41,"工作要求：
1. 负责日常产品迭代开发和维护
2. 独立解决问题能力","工作要求：
1. 2年以上saas产品开发（多租户）或电商平台工作经验；
2. 熟练.net core 、EF开发和高并发开发经验。
3. 熟练Mysql数据库；
4. 具有较强责任心, 具有团队合作精神, 自学能力强，有创新探索能力；
5. 需要有前端小程序和vue开发基本经验，有全栈能者优先；","技术栈:

1. .NET Core
2. EF (Entity Framework)
3. MySQL
4. Vue
5. 小程序 (Frontend)"
.net 开发工程师,广州黄埔区广州益科智能创新园1栋3层301-2.301-3房,本科,3-5年,,7-12K,计算机软件,,100-499人,不需要融资,招聘中,全职,岗位职责：1、根据公司软件开发规范，使用公司提供的开发工具，进行系统开发；2、与甲方进行沟通并及时提供技术支持服务；3、负责系统需求、设计、开发过程中相关文档的编写；4、配合测试人员完成系统测试工作，协助实施人员完成系统实施工作；职位要求： 1、具有计算机等相关领域的学士及以上学历；2、3年及以上软件开发经验，熟悉软件开发工作流程，熟悉面向对象编程思想；3、精通.Net和.NET Core下的开发技术，熟悉WebAPI，MVC及基于仓储模式的多层架,思诺维特（北京）科技有限公司是国内领先的应用系统和应用服务供应商，目前为检验检测行业提供各类信息化平台，公司致力于通过使用国际先进的IT技术，引进国际先进的检验检测管理规范，结合专业的服务团队，推动中国检验检测行业的发展。 雅培信息亚太区的Service Provider，负责为雅培信息公司亚太地区客户的售后服务和技术支持工作。 公司主营业务为以实验室信息管理系统为核心的检验检测一体化解决方案，包括：实验室信息管理系统、实验室电子记事本、科学数据管理系统、客户服务系统、客户管理管理系统、高级数据分析系统、移动应用以及云部署方案。 自公司成立之日起，思诺维特始终坚持走专业化的发展道路，不断追求产品技术先进性和应用服务专业化，在提供卓越服务的同时与客户共同成长。近年来，公司不断拓展与深化业务，先后在石油化工、有色金属、食品饮料、制药、医疗等行业提供专业的信息化管理系统和服务，帮助用户不断在业务流程进行优化，在业务上帮助用户提高检验检测的自动化水平，在管理上借鉴国际先进管理理念帮助用户达到国际上领先的管理水平。,https://www.zhipin.com/gongsi/520421f6bcfab4321XN42tq_Fg~~.html,https://www.zhipin.com/job_detail/57ec6ef51807672a1XR739i_EVpY.html,2024-05-14 23:12:17,"工作要求：
1、根据公司软件开发规范，使用公司提供的开发工具，进行系统开发；
2、与甲方进行沟通并及时提供技术支持服务；
3、负责系统需求、设计、开发过程中相关文档的编写；
4、配合测试人员完成系统测试工作，协助实施人员完成系统实施工作；","工作要求：
1. 具有计算机等相关领域的学士及以上学历；
2. 3年及以上软件开发经验，熟悉软件开发工作流程，熟悉面向对象编程思想；
3. 精通.Net和.NET Core下的开发技术，熟悉WebAPI，MVC及基于仓储模式的多层架构。","技术栈:

1. .Net
2. .NET Core
3. WebAPI
4. MVC
5. 面向对象编程（OOP）"
.NET初级开发工程师,广州黄埔区广东软件科学园F栋8楼803室、805室,大专,1-3年,,7-12K·13薪,计算机软件,,100-499人,未融资,招聘中,全职,岗位职责：1、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；2、能独立处理和解决所负责的任务；3、负责辅助进行系统的功能定义、程序设计；4、参与相关质量活动，确保软件设计及实现工作按时保质完成。岗位要求：1、大专以上学历， 2年以上开发工作经验，计算机、信息管理或相关专业。2、精通.Net(C#.net、Asp.net、Asp.net Core)、Oracle/SQL Server/MySQL数据库开发技术。3、有零售行业ERP、分销、零售、物流、人力资源、财务系统等开发经历优先。4、具有良好的团队合作、敬业精神。福利待遇：1、五天八小时工作制，周末双休，按国家节假日放假。 2、按国家规定，为员工购买养老、失业、工伤、医疗、生育、医疗保险和住房公积金。 3、公司配有生活区、食堂、运动场所等。 4、员工每年享受带薪年假。5、优秀员工及技术骨干每年给予探亲假。6、每年享有年度旅游、拓展与体检。7、每个季度组织丰富的企业文化活动。8、凡员工有杰出表现或特殊贡献，公司将根据贡献大小，给予相应奖励。9、优雅的办公环境，轻松活泼的公司氛围。,企业总部创于2010年11月，我们坐落于广州萝岗区彩频路11号广东科学软件园，是一家长期致力于鞋品、服装、配件等零售批发行业的ERP管理软件及电子商务平台、商业智能研究与服务的 高新技术（外资）企业。成都分公司作为恒康科技在西南区发展的重要分支，成立于2016年7月，位于四川高新产业发展聚集地—高新区。建立西部研发中心，致力于向广大西南地区企业提供专业ERP系统开发、实施、O2O解决方案、微信营销、电子商务平台等服务。,https://www.zhipin.com/gongsi/c72de61a6f16934c33dy29m-.html,https://www.zhipin.com/job_detail/a801c4bcdf6229401nB939-8GFZV.html,2024-05-14 23:20:18,"工作要求：
1. 根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；
2. 能独立处理和解决所负责的任务；
3. 负责辅助进行系统的功能定义、程序设计；
4. 参与相关质量活动，确保软件设计及实现工作按时保质完成。","工作要求：
1. 大专以上学历
2. 2年以上开发工作经验，计算机、信息管理或相关专业
3. 精通.Net(C#.net、Asp.net、Asp.net Core)、Oracle/SQL Server/MySQL数据库开发技术
4. 有零售行业ERP、分销、零售、物流、人力资源、财务系统等开发经历优先
5. 具有良好的团队合作、敬业精神","技术栈:

1. .Net
2. C#.net
3. Asp.net
4. Asp.net Core
5. Oracle
6. SQL Server
7. MySQL"
系统开发工程师,广州增城区索菲亚家居股份有限公司仙宁路2号,本科,1-3年,,9-10K,互联网,,10000人以上,已上市,招聘中,全职,岗位职责：1. 3年及以上dotnet方向开发经验；熟练使用asp.net core blazor、数据库等技术。 2. 要有较好的逻辑思维能力和业务理解能力，且有独立解决问题能力；3. 熟悉使用HTML、CSS、前端框架jQuery、JS等脚本语言；4. 熟练使用Linux ，docker容器开发经验；5. 有智能制造或定制家居工作经验者优先。任职要求：1.计算机专业，本科及以上学历，3年及以上工作经验；2.掌握 dotnet/dotnet core ，熟悉linux / 容器开发；3.具有较强的计划、组织、沟通、协调和推进能力，具有较强责任心；4.能接受1个月内出差。,索菲亚家居股份有限公司是一家主要从事定制柜、橱柜、木门、墙地一体、配套五金、家具家品、定制大宗业务的研发、生产和销售的公司。 公司于2011年在深交所成功上市，是行业内首家A股上市公司（股票代码：002572）。公司建立起覆盖全市场的完善品牌矩阵，分别是：以中高端市场为目标的“索菲亚”，以高精人群为目标的“司米”和“华鹤”，以大众市场为目标的“米兰纳”，四大品牌互相呼应，形成集团内部相互呼应的产品研发和供应体系，覆盖衣橱门全品类，实现纵深渠道全面发展。公司福利：1、工作时间：双休，8小时/天；（增城：8:00-18:00；营销中心：9:00-18:00；电商中心：9:30-18:30）2、五险一金，部分工种另购买相关商业意外保险；3、享受法定公众节假日、婚假、产假、丧假、年假等相关带薪假期；4、文体活动：年度体育文化节、年度旅游、部门活动、年会；5、每逢佳节，派发礼品；举办员工生日会，发放生日贺卡及生日礼品；6、公司增城总部环境优美，丰富的娱乐设施，空调宿舍、热水器、图书馆、电影院、健身房；公司食堂提供三餐。7、索菲亚培训学院，完善的培训体系。注：员工均可享受公司的各项福利，不同的办公区域、工种及职务享受福利会适当差别。地址：公司总部：广州市增城区新塘镇永宁街仙宁路3号索菲亚大厦营销中心：广州市天河区体育东路创展中心西座电商中心：广州市海珠区新港东路620号南丰汇乘车指引：（增城总部）：1、广州方向：（方法一）乘坐“广州流花车站→增城汽车站”公交车，在“朱村路口”下，转乘104路（荔城至新塘）公交车，在宁西工业园（下元村路口站）下即到；（方法二）天河体育中心乘坐到新塘的汽车，在“新塘大润发”下，到马路对面公交站乘坐104路（荔城至新塘）公交车，在宁西工业园（下元村路口站）下即到；（方法三）乘坐“广州流花车站→永和汽车站”的车，在“永和汽车站”下，转乘104路（荔城至新塘）公交车，在宁西工业园（下元村路路口站）下即到；（方法四）在天河客运站乘坐“广州天河客运站→增城汽车站”的汽车，在“朱村路口”下，转乘104路（荔城至新塘）公交车，在宁西工业园（下元村路口站）下即到。2、广州开发区（东区）方向：乘坐“566A路”公交车，途经“永和加油站”下，在“永和汽车站”转乘104路（荔城至新塘）公交车，到宁西工业园（下元村路口站）下即到。3、增城/新塘/永和方向：乘坐104路（荔城至新塘）公交车，在宁西工业园（下元村路口站）下即到。（营销中心）：地铁或公交车到体育中心站或石牌桥站下出站，到体育东路“创展中心”.关注微信公众号：索菲亚招聘平台，了解最新招聘信息！,https://www.zhipin.com/gongsi/8370935731811e531nx939s~.html,https://www.zhipin.com/job_detail/aba7d150023443601Hd83tu-FlFV.html,2024-05-14 23:18:01,"工作要求： 
1. 使用asp.net core blazor、数据库等技术进行开发。
2. 具有逻辑思维能力和业务理解能力，独立解决问题。
3. 使用HTML、CSS、前端框架jQuery、JS等脚本语言。
4. 使用Linux 和docker容器进行开发。
5. 有智能制造或定制家居工作经验者优先。","工作要求：
1. 3年及以上dotnet方向开发经验
2. 较好的逻辑思维能力和业务理解能力，且有独立解决问题能力
3. 熟悉使用HTML、CSS、前端框架jQuery、JS等脚本语言
4. 熟练使用Linux ，docker容器开发经验
5. 智能制造或定制家居工作经验者优先
6. 计算机专业，本科及以上学历，3年及以上工作经验
7. 掌握dotnet/dotnet core ，熟悉linux / 容器开发
8. 具有较强的计划、组织、沟通、协调和推进能力，具有较强责任心
9. 能接受1个月内出差","技术栈:

1. .NET
2. .NET Core
3. HTML
4. CSS
5. jQuery
6. JavaScript
7. Linux
8. Docker"
