职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期
软件开发工程师（2024届）,上海市徐汇区,本科及以上,,30人,6k-8k,计算机软件,股份制企业,1000-4999人,,,全职,职位要求： 1、2024届应届本科毕业生； 2、计算机、软件、电子、通信、信息、自动化、数学、物理等相关理工科专业； 3、熟练掌握至少一门高级编程语言（如Java、C/C++/C#、.NET、Python等）； 4、有较强的学习、分析及解决问题能力，思维敏捷，善于沟通交流，具有良好的团队合作精神，有责任心； 5、热衷于技术领域的深耕，能承受一定的工作压力； 6、熟悉掌握SQL、ORACLE等数据库相关知识者优先； 7、对日语感兴趣者优先。 针对有志于从事软件开发的应届毕业生，根据笔面试结果对应相应的岗位，毕业后入职进入公司培训中心，接受脱产带薪培训，培训内容包括日语、软件工程等相关课程。培训结束后，进入工作岗位，成绩优秀者将前往日本东京进入集团全资海外子公司进行继续深造。 软件开发工程师的发展方向是以行业应用软件的设计开发为主。在熟练掌握开发技巧、熟知开发流程、熟悉开发规范的基础上，向项目经理(偏重管理)、技术经理(偏重技术和业务)等更高级的职位发展。,海隆软件成立于一九八九年，总部位于中国上海，在南京、北京、无锡、昆山、南通、杭州以及日本东京、大阪等地拥有多家分支机构。近年来业务主要聚焦于金融科技领域，通过加大先进信息技术在银行、证券，保险以及其他金融领域的研发投入，形成相应产品及解决方案，从而推动公司软件开发业务的升级扩大，为客户提供的数字化转型服务实现了从上游到下游的全方位覆盖，创造更多附加价值。在国内外，海隆软件在行业内享有较高的声誉，客户对公司的满意度始终保持着行业内领先地位。 多年来，海隆软件连续荣获“国家规划布局内重点软件企业”、“全国商务系统先进集体”、“上海市科技小巨人企业”、“上海市高新技术企业”、“上海优秀软件企业”、“上海市软件明星企业” 、“上海市软件和信息技术服务百强”等多项荣誉称号，并拥有软件企业和软件产品“双软”认证，通过了ISO27001信息安全体系认证、以及CMMI4等国际质量评估认证。 随着信息技术的不断发展，海隆软件成立了国际化技术中心，并组建了大数据实验室、人工智能实验室、区块链实验室以及云计算实验室，在数字化转型的大背景下，推动技术革新与金融机构及企业客户业务场景的深度融合，高效赋能企业智能化转型。 作为一家具有国际一流水平的综合IT服务供应商，海隆软件在持续稳步发展的同时，坚持不断从各高校中广纳优秀人才，保持企业的年轻力、创新力、推动力、持续力，为有识青年提供平台，实现共赢。 总部及分支结构： 上海海隆软件股份有限公司（总部·上海） 江苏海隆软件技术有限公,,https://www.ncss.cn/student/jobs/HCQbpyk21hPgD3XU5hAvwA/detail.html,2024-05-15 13:57:14
技术类管培生（2024届）,上海市徐汇区,本科及以上,,20人,9k-12k,计算机软件,股份制企业,1000-4999人,,,全职,职位要求： 1、2024届应届本科、硕士毕业生； 2、计算机、软件、电子、通信、信息、自动化、数学、物理等相关理工科专业； 3、熟练掌握至少一门高级编程语言（如Java、C/C++/C#、.NET、Python等）； 4、有较强的学习、分析及解决问题能力，思维敏捷，善于沟通交流，具有良好的团队合作精神，有责任心； 5、热衷于技术领域的深耕，能承受一定的工作压力； 6、熟悉掌握SQL、ORACLE等数据库相关知识者优先； 7、对日语感兴趣者优先。 针对有志于从事软件开发的应届毕业生，根据笔面试结果对应相应的岗位，毕业后入职进入公司培训中心，接受脱产带薪培训，培训内容包括日语、软件工程等相关课程。培训结束后，进入工作岗位，成绩优秀者将前往日本东京进入集团全资海外子公司进行继续深造。 技术类管培生的发展方向是以金融行业的应用软件、行业性大数据产品的设计研发为主。通过与人工智能的结合，挖掘数据的潜在价值，运用先进的统计建模、数据挖掘、机器学习等方法帮助行业客户实现数字化转型。,海隆软件成立于一九八九年，总部位于中国上海，在南京、北京、无锡、昆山、南通、杭州以及日本东京、大阪等地拥有多家分支机构。近年来业务主要聚焦于金融科技领域，通过加大先进信息技术在银行、证券，保险以及其他金融领域的研发投入，形成相应产品及解决方案，从而推动公司软件开发业务的升级扩大，为客户提供的数字化转型服务实现了从上游到下游的全方位覆盖，创造更多附加价值。在国内外，海隆软件在行业内享有较高的声誉，客户对公司的满意度始终保持着行业内领先地位。 多年来，海隆软件连续荣获“国家规划布局内重点软件企业”、“全国商务系统先进集体”、“上海市科技小巨人企业”、“上海市高新技术企业”、“上海优秀软件企业”、“上海市软件明星企业” 、“上海市软件和信息技术服务百强”等多项荣誉称号，并拥有软件企业和软件产品“双软”认证，通过了ISO27001信息安全体系认证、以及CMMI4等国际质量评估认证。 随着信息技术的不断发展，海隆软件成立了国际化技术中心，并组建了大数据实验室、人工智能实验室、区块链实验室以及云计算实验室，在数字化转型的大背景下，推动技术革新与金融机构及企业客户业务场景的深度融合，高效赋能企业智能化转型。 作为一家具有国际一流水平的综合IT服务供应商，海隆软件在持续稳步发展的同时，坚持不断从各高校中广纳优秀人才，保持企业的年轻力、创新力、推动力、持续力，为有识青年提供平台，实现共赢。 总部及分支结构： 上海海隆软件股份有限公司（总部·上海） 江苏海隆软件技术有限公司（南京） 海隆软件(昆山)有限公司（昆山） 海隆软件技术(南通)有限公司（南通） 上海海隆信技软件有限公司（上海） 上海海隆信技软件有限公司杭州分公司（杭州） 海隆软件(无锡)有限公司（无锡） 海隆网讯科技(北京)有限公司（北京） 上海海隆华大计算机系统有限公司（上海） 上海海隆金丘信息科技有限公司（上海） 上海海隆华钟信息技术有限公司（上海） 上海海隆宜通信息技术有限公司（上海） 海隆行建网络科技(昆山)有限公司（昆山） 日本海隆株式会社（东京） 海隆一创株式会社（东京） 株式会社フューチャーナビゲータ（东京）,,https://www.ncss.cn/student/jobs/MN5sacwbNxwCeo4DkVYgdY/detail.html,2024-05-15 13:57:23
项目助理,上海市金山区,本科及以上,,2人,4k-6k,计算机软件,上市公司,,,,全职,1.协助项目经理完成日常工作 2.负责记录和整理日常开会内容 3.有较强沟通能力者优先,北京国电软通科技有限公司成立于2009年12月28日，注册地位于北京市海淀区西北旺东路10号院东区16号楼3层303室，法定代表人为张桐。经营范围包括技术开发、技术转让、技术咨询、技术服务；应用软件服务；基础软件服务；计算机系统服务；销售机械设备、仪器仪表；货物进出口、技术进出口、代理进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）北京国电软通科技有限公司对外投资1家公司，具有1处分支机构。,,https://www.ncss.cn/student/jobs/F9PeWGawJjSqJADNXj4vMB/detail.html,2024-05-15 13:57:31
机电、计算机IT实习生2025届,上海市嘉定区,专科及以上,,3人,3k-5k,综合领域经营,民营企业,1-49人,,,实习,上海五星级酒店招聘实习生 工程部：机电专业 2人 IT部门：计算机专业 1人 实习期间3000左右，毕业后4500起步。 企业直签直发，只要2025届的大专生 包住，包三餐（休息日也包吃饭）,,,https://www.ncss.cn/student/jobs/YRoybxkJqrZYKvWLQhpnVZ/detail.html,2024-05-15 13:57:40
JAVA开发工程师,上海市浦东新区,专科及以上,,4人,8k-14k,投资/基金/证券/期货,民营企业,1-49人,,,全职,"工作职责： 1. 与需求分析，完成功能模块的设计、开发、单元测试、集成和发布； 2. 解决开发过程中遇到的疑难杂症，配合项目成员完成相关测试工作。 3. 根据产品开发规范，完成相关技术文档编写； 4. 学习IBM规则引擎产品，根据业务需求，编写业务规则； 5. 了解Linux系统命令，部署webLogic、jboss、was等中间件组件,分析解决异常问题； 6. 了解Oracle、MySql等数据库，完成数据提取、导入、数据核对及脚本优化； 7. 与客户保持良好沟通，解答及解决相关技术问题； 8. 了解css，html，js等相关技术； 任职资格: 1、有良好的个人诚信及职业操守； 2、熟悉Java、mybatis、Javascript、WebService等开发技术； 3、熟练掌握Eclipse或其他集成开发环境，熟悉Linux开发环境； 4、至少了解一种关系数据库，比如Oracle或Mysql； 5、有车险项目研发经验优先； 6、有良好的团队合作意识，耐心，诚恳，有强烈的责任心和认真积极主动的工作态度，有优秀的学习能力；",,,https://www.ncss.cn/student/jobs/EjG7ofXX58gf83PmoyJM5F/detail.html,2024-05-15 13:57:49
产品经理实习生,上海市杨浦区,专科及以上,,1人,4k-6k,互联网/电子商务,民营企业,1-49人,,,实习,岗位职责： 1. 负责技术，测试，运行部门沟通工作； 2. 负责收集客户反馈、提供及时响应，并整理为产品迭代优化的需求； 3. 参与产品规划，产品的原型设计和产品流程设计，增强产品竞争力； 4. 制定产品相关规范，参与产品各类文档编写； 5. 负责产品整体原型设计，交互设计，实现高保真原型； 6. 从产品功能、业务流程、用户界面、用户交互体验等方面进行研究，并提出建设性意见和改善方案； 7. 把控产品设计产出质量，提升团队整体生产力。 任职要求： 1. 海外留学背景优先考虑 ，大三及以上，每周能出勤5天者优先； 2. 优秀的产品规划和设计能力，具备高度的市场敏锐性和嗅觉； 3. 具备较强的工作责任心、执行力，良好的沟通协调能力，善于学习，积极主动思考问题； 4. 较强的抗压能力、自我管理能力，能适应快节奏、压力大的工作方式； 5. 计算机，金融，美术相关专业优先； 6. 良好的PRD或MRD的产品文档撰写能力； 7. 熟练使用Axure、VMockups或其他原型设计软件； 8. 熟练使用Visio、Xmind等流程图软件； 9. 具备良好的结构化思考能力、逻辑能力，能将问题化繁为简。,,,https://www.ncss.cn/student/jobs/YZMJgD5fXNyqGgS7NgWR4R/detail.html,2024-05-15 13:57:58
plc电气工程师,上海市宝山区,本科及以上,,5人,6k-18k,计算机软件,民营企业,1-49人,,,全职,1.培训后能够进行plc程序编写、调试；触摸屏，组态软件的编程组态 2.配合做项目的前期技术沟通交流等工作 3.完成项目的电气部分的软硬件调试 4.负责管理和协调项目现场设备安装调试，管理项目团队处理施工过程中出现的各种与电气控制系统相关的技术问题 5.负责项目的技术服务，系统安装调试，协调装配电工完成电气线路的安装连接工作 6.能制作技术相关资料，使用手册等相关文档资料 7.能够协助研发工作、公司安排的其他工作 任职资格： 1.电气、自动化、等相关专业 2.有良好的工作、学习习惯、有研发意愿 3.了解电气自动化控制系统的设计电气图纸，设备选型，调试，数量应用 4.具有较强的责任心，良好的团队协作能力及一定的项目工程管理能力 5.具有良好的沟通协调能力，良好的职业道德，能够承受一定的工作压力 6.能够接受出差,上海唯能炬科技有限公司成立于2020年，是为钢铁企业提供“云+端+应用”的“机器视觉”整体解决方案和智能化燃烧系统集成的专业化企业。 公司目前拥有多名国内知名的热工和控制专家，拥有一支极具敬业、创造和进取精神的高素质管理团队，企业长期致力于工业炉窑环保技术以及智能化燃烧系统的研发和工程应用，公司通过深入调研用户需求，定制化设计系统节能方案，并配套设备集成，成功开发应用了一系列核心技术和装备，为用户创造了巨大的经济效益。 企业提供的围绕“机器视觉”相关产品及服务，可以帮助钢铁企业实现产品制造过程的智能化、数字化，可视化，唯能炬科技是集研发、生产、销售于一体的软件企业和高新技术企业。 企业贯彻绿色经济、环境经营的理念，竭诚为客户提供高效、优质的服务，为社会,,https://www.ncss.cn/student/jobs/JsMBYPzYM1n9bkJ9x223YH/detail.html,2024-05-15 13:58:07
plc电气工程师,上海市宝山区,本科及以上,,3人,4k-5k,计算机软件,民营企业,1-49人,,,实习,1.能够经过培训后进行plc程序编写、调试；触摸屏，组态软件的编程组态 2.配合做项目的技术辅助和研发辅助等工作 3.配合完成项目的电气部分的软硬件调试 4.项目的技术服务，系统安装调试，协调装配电工完成电气线路的安装连接工作 5.能制作技术相关资料，使用手册等相关文档资料 7.公司安排的其他工作 任职资格： 1.电气、自动化、等相关专业 2.有良好的工作、学习习惯 3.了解电气自动化控制系统的设计电气图纸，设备选型，调试，数量。 4.具有较强的责任心，良好的团队协作能力及一定的项目工程管理能力 5.具有良好的沟通协调能力，良好的职业道德，能够承受一定的工作压力 6.能够接受出差,上海唯能炬科技有限公司成立于2020年，是为钢铁企业提供“云+端+应用”的“机器视觉”整体解决方案和智能化燃烧系统集成的专业化企业。 公司目前拥有多名国内知名的热工和控制专家，拥有一支极具敬业、创造和进取精神的高素质管理团队，企业长期致力于工业炉窑环保技术以及智能化燃烧系统的研发和工程应用，公司通过深入调研用户需求，定制化设计系统节能方案，并配套设备集成，成功开发应用了一系列核心技术和装备，为用户创造了巨大的经济效益。 企业提供的围绕“机器视觉”相关产品及服务，可以帮助钢铁企业实现产品制造过程的智能化、数字化，可视化，唯能炬科技是集研发、生产、销售于一体的软件企业和高新技术企业。 企业贯彻绿色经济、环境经营的理念，竭诚为客户提供高效、优质的服务，为社会,,https://www.ncss.cn/student/jobs/JV2hEh4DPYvAQ3CnzwgJZV/detail.html,2024-05-15 13:58:16
上海大一、大二等各年级大学生家教兼职,上海市黄浦区,本科及以上,,100人,8k-10k,互联网/电子商务,民营企业,1-49人,,,兼职,上海家教网【shanghai.vipjiajiao.com】是杭州家教中介强势品牌神舟家教网【www.vipjiajiao.com】旗下上海业务分站，是上海大学生双休日家教兼职、工作日星期一至五晚上、寒暑假家教兼职勤工助学平台。专业为上海地区家长提供高一至高三各年级的语文、数学、英语、物理、化学、生物、历史、地理、政治、信息技术、通用技术；初一至初三各年级的语文、数学、英语、科学、物理、化学、生物；小学一至六年级的语文、数学、英语、科学、奥数家教中介服务；以及音乐乐器(钢琴、古筝、吉他、小提琴、大提琴、电子琴、二胡、扬琴、长笛、萨克斯、小号、单簧管、长号、手风琴、竹笛、葫芦丝、架子鼓、琵琶、爵士鼓等各类西洋乐器与民族乐器；视唱、练耳、美声、民族、通俗唱法等声乐）、美术书法（国画、油画、简笔画、卡通、动漫、彩铅、素描、水粉、水彩、速写、硬笔、软笔等）、体育舞蹈（古典舞、民族舞、民间舞、拉丁舞、交谊舞、现代舞等）等艺术家教中介服务。好家教，找神舟！二十二年品牌，快速匹配！ 为进一步拓展上海家教业务，特招聘上海高校大一、大二等各年级大学生家教兼职勤工俭学。 一、工作内容： 1、利用星期一至星期五晚上（一般为18:30-22:00间时间段），以及双休日、寒暑假业余时间从事上门家教服务； 2、上门服务区域主要是上海黄浦区、徐汇区、长宁区、静安区、普陀区、虹口区、杨浦区、闵行区、宝山区、嘉定区、浦东新区、金山区、松江区、青浦区、奉贤区、崇明区，神舟家教网按教员特长就近匹配学员； 3、神舟家教网已在全国开通了全部一线城市（19个）、二线城市（30个）、三线城市（70个）、四线城市（90个）、五线城市（128个）分站，浙江全省开通了全部市/区县分站。A、B两类城市是我们业务拓展重点城市。城市分类如下： A类城市：杭州、北京、天津、上海、南京、合肥、济南、青岛、厦门、广州、长沙、武汉、沈阳、大连、哈尔滨、长春、重庆、成都、西安、兰州； B类城市：苏州、无锡、徐州、南昌、福州、宁波、湘潭、郑州、开封、太原、呼和浩特、深圳、南宁、海口、昆明、贵阳、咸阳、乌鲁木齐、银川、西宁、拉萨； C类城市：石家庄、金华、镇江、扬州、芜湖、桂林、临汾、新乡、四平； D类城市：其他城市； 二、需求科目： 1、高中：语文、数学、英语、物理、化学、生物、地理、历史、政治、信息技术、通用技术等； 2、初中：语文、数学、英语、物理、化学、生物、科学等； 3、小学：语文、数学、英语、奥数； 4、体育：篮球、足球、排球、网球等球类；中考体育达标项目（800米与1000米跑步、铅球、游泳等） 5、音乐：钢琴、小提琴、古筝、大提琴、琵琶、吉他、电子琴、二胡、扬琴、长笛、萨克斯、小号、单簧管、长号、手风琴、竹笛、葫芦丝、古琴、架子鼓、琵琶、爵士鼓等乐器；以及小三门（乐理、视唱、练耳等） 6、美术：素描、速写、简笔、色彩、水粉、水彩、国画、油画、彩铅、动漫、卡通、书法（软笔、硬笔）等； 7、电脑：信奥、中小学生基础编程、办公软件（word、excel、powerpoint等）、C语言、C++、C#、Java、Python、Asp.Net、JavaScript、PHP、Sql Server、MySql、Oracle等。 8、大学：高等数学、英语四六级、托福、雅思、考研专业课等； 三、基本要求： 1、现就读于上海本科院校，如复旦大学、同济大学、上海交通大学、华东理工大学、上海理工大学、上海海事大学、东华大学、上海电力大学、上海应用技术大学、上海健康医学院、上海海洋大学、 上海中医药大学、华东师范大学、上海师范大学、上海外国语大学、上海财经大学、上海对外经贸大学、上海海关学院、华东政法大学、上海体育学院、上海音乐学院、上海戏剧学院、上海大学、上海公安学院、上海工程技术大学、上海立信会计金融学院、上海电机学院、上海杉达学院、上海政法学院、上海第二工业大学、上海商学院、上海立达学院、上海建桥学院、上海兴伟学院、上海中侨职业技术大学、上海视觉艺术学院、上海外国语大学贤达经济人文学院、上海师范大学天华学院、上海科技大学、上海纽约大学等；或外地高校毕业生在上海市区工作的，有业余时间做家教。 2、身体健康、普通话标准、语言表达能力强；有与应聘科目相适用的业务技能； 3、家长支持，在不影响自己学习或工作的前提下有相对固定的业余时间从事家教服务； 4、能自行解决交通工具，为家教学员提供一对一上门家教服务； 5、互惠互利，能按神舟家教的分账模式进行业务合作。 四、工资行情： 1、课时行情（一对一上门）： ①高中文化课：①普通：120-150元/时；②精品:150-200元/时；③名校精品：200-300元/时。 ②初中文化课：①普通：100-120元/时；②精品:120-150元/时；③名校精品：150-200元/时。 ③小学文化课：①普通：80-100元/时；②精品:100-120元/时；③名校精品：120-150元/时。 ④音乐乐器类： 初级（1-3级）150-200元/时；中级（4-7级）200-250元/时；高级（8-10级）250-300元/时。 ⑤美术书法类：初级100-120元/时；中级120-150元/时；高级150-200元/时； 2、分成模式：目前教员与我们采取82分成模式合作，即每一个订单教员提成80%，公司提成20%。 3、亲：对于暂没找到工作的大学生，做短期家教兼职也是非常不错的选择。充分利用星期一至五晚上每天2小时就是10小时，双休上午、下午、晚上各2小时用于家教兼职的话，每周就有22个小时可用于兼职。 五、求职简历及相关证件提交： 1、请务必使用电脑到神舟家教网官网【www.vipjiajiao.com/Reg/Reguser.asp】注册会员并提交详细家教求职简历。“主要学习成就”（如高考总分与各科成绩、初高中有关数理化竞赛、大学期间有关奖励、教师进修等）、“家教工作经历“（在什么时间，地点带过哪个学校，哪个年级学生的哪个科目，达到什么样的效果；有关支教、学校实习或工作、教育培训机构兼课；各类社会实践、兼职等）以及业余爱好是家长非常看重的，多写细节，越详细越好。通过神舟家教网发布的简历可同时被家长以及教育培训机构看到。 2、个人最高学历毕业证与学位证、学生证（在校生）、身份证等请提供原件的扫描件（或手机照片）请发送到shezanqiu@163.com。 ◆在校大学生：身份证（正反面）、学生证（有姓名、院系、专业、照片、钢印或公章的内页+封皮）； ◆在校研究生：身份证（正反面）、研究生证（有姓名、院系、专业、照片、钢印或公章的内页+封皮）； ◆毕业生：身份证（正反面）、最高学历毕业证与学位证； ◆准大学生：身份证（正反面）、高中毕业证、高考成绩单截图或大学录取通知书； ◆准研究生：身份证（正反面）、最高学历毕业证与学位证、研究生录取通知书（或某高校预录取截图）。 ◆其他有关所有能证明本人实力的获奖证书、资格证书等原件与复印件按需提供，主要是一二等奖学金、大学英语6级、英语专业的专四与专八证书、托福雅思成绩单、中高级口译证书、高中各类数理化生奥赛、信奥等与成绩比较相关的证书。 3、能达成合作意向的，需签订一式两份家教兼职协议。 六、联系方式： 联系电话： 0571-85378689、13858026356、18957137409 [咨询时间：每天8：00-22：00] 联 系 人： 佘先生 公司信箱：shezanqiu@163.com 业务QQ： 927037460、378734607 （加好友时，请注明：应聘家教） 微信号码：个人微信号【18957137409、13858026356】；公众订阅号【zjjiajiao】 业务网站： 神舟家教网-电脑版【www.vipjiajiao.com】、手机版【m.vipjiajiao.com】； 浙江家教网-电脑版【www.zjjiajiao.net】、手机版【m.zjjiajiao.net】； 杭州家教网-电脑版【www.zjjiajiao.cn】、手机版【m.zjjiajiao.cn】； 浙大家教网-电脑版【www.zjjiajiao.com.cn】、手机版【www.zhedajiajiao.cn】； 全国各地分站导航：【www.vipjiajiao.com/sitemap.asp】 简历提交入口：【www.vipjiajiao.com/Reg/Reguser.asp】,创立于2002年的神舟家教网【http://www.zjjiajiao.net】，经历了十年多的艰苦创业与快速发展，在师资队伍建设方面，我们已建立了2000多位有多年丰富教学经验的专职教师教员队伍、8000多位涵括杭城各本科院校、各专业、各年级的大学生教员队伍，可为家长朋友提供从小学到初高中各年级语文、数学、英语、物理、化学、生物、地理、历史、政治、信息技术等文化课、以及音乐乐器、美术书法、体育舞蹈等艺术类科目的全方位家教服务。 通过与我们的合作，大部分学生朋友在学业上都有了长足进步，部分已考上了自己心仪的重点高中与名牌大学，在家教招生方面，年均可为每位长期合作的骨干教师介绍10-20个家教学生，月均可获得几千元以上的家教外快收入；在大学生家教勤工助学方面，年均可为每位大学生朋友提供近万元的家教兼职收入。正因为有了神舟家教的顽强拼搏、勇创一流的服务精神，才有了我们神舟在家教中介行业尤其是为大学生勤工俭学方面的卓越贡献，本人的创业故事也引起了有关媒体的重点关注，2003年8月25日被《钱江晚报》的第14版《财富榜样栏目》做了详细报导，2003年11月14日被《青年时报》授予杭州市优秀家教品牌称号；2006年6月11日被明珠电视台做了暑期家教专题采访；2012年5月6日被每日商报做了《提问培训业》专题采访。 本着“诚信、勤劳、智慧、机遇、合作、共赢”的十二字经营方针，2008年我们将神舟家教网做了重要改版，业务从杭州市区进一步拓展到浙江全省，并针对每个市/区县设立了分站。2013年10月我们又将神舟家教网做了进一步改版，业务范围从浙江全省拓展到全国288个大中城市。截止到2020年年底神舟家教网已在全国开通了全部一线城市（19个）、二线城市（30个）、三线城市（70个）、四线城市（90个）、五线城市（128个）分站，浙江全省开通了全部市/区县分站。 在新的一年里，我们将以杭州为大本营，面向全国加强师资队伍建设：重点拓展北京、上海、南京、武汉、西安、广州、天津、成都、重庆、长沙、合肥、济南、厦门、哈尔滨、沈阳、长春、青岛、大连、兰州等重点城市市场；以及福州、南昌、郑州、石家庄、太原、呼和浩特、昆明、贵阳、南宁、海口、乌鲁木齐、银川、西宁、拉萨等省会城市与宁波、温州、嘉兴、金华、绍兴、台州、深圳、东莞、佛山、惠州、中山、珠海、苏州、无锡、常州、南通、徐州、泉州、烟台、保定、廊坊等一二线经济强市市场，力争在3-5年时间，建立起拥有10万位大学生与专职教师的家教师资队伍，每年服务10万位以上家长。 除杭州市区（西湖区、上城区、拱墅区、滨江区、萧山区、余杭区、临平区、钱塘区、临安区、富阳区）我们公司直接做家教中介服务外，浙江省内其他市与区县、省外城市我们期望找分站运营代理一起做大全国家教中介市场。一线城市代理费6000元/年、二线城市4800元/年、三线城市4200元/年、四线城市3600元/年、五线城市3000元/年、区县2400元/年。非常适合在校大学生、待业大学生小本创业，大学生创业还可享受各类政策优惠。详情可查看招商加盟专栏【http://www.zjjiajiao.net/join/join.asp】。 好家教，找神舟！爱拼才会赢！百尺竿头，更进一步，我们愿与所有关心我们、支持我们的朋友一道，继续发扬“晴天不怕一身汗，雨天不怕一身泥”的优良传统，从成功走向更辉煌！,,https://www.ncss.cn/student/jobs/7V2vhxWVuFnAYQT315GMgy/detail.html,2024-05-15 13:58:25
plc电气工程师,上海市宝山区,硕士及以上,,5人,8k-16k,计算机软件,民营企业,1-49人,,,全职,1.能够进行plc程序编写、调试；触摸屏，组态软件的编程组态 2.配合做项目的前期技术沟通交流等工作 3.完成项目的电气部分的软硬件调试 4.负责管理和协调项目现场设备安装调试，管理项目团队处理施工过程中出现的各种与电气控制系统相关的技术问题 5.负责项目的技术服务，系统安装调试，协调装配电工完成电气线路的安装连接工作 6.能制作技术相关资料，使用手册等相关文档资料 7.公司安排的其他工作 任职资格： 1.电气、自动化、等相关专业本科学历 优秀实习生也可以考虑 2.有良好的工作、学习习惯 3.了解电气自动化控制系统的设计电气图纸，设备选型，调试，数量应用各种控制软件，西门子300 400 1200为主 4.具有较强的责任心，良好的团队协作能力及一定的项目工程管理能力 5.具有良好的沟通协调能力，良好的职业道德，能够承受一定的工作压力 6.能够接受出差,上海唯能炬科技有限公司成立于2020年，是为钢铁企业提供“云+端+应用”的“机器视觉”整体解决方案和智能化燃烧系统集成的专业化企业。 公司目前拥有多名国内知名的热工和控制专家，拥有一支极具敬业、创造和进取精神的高素质管理团队，企业长期致力于工业炉窑环保技术以及智能化燃烧系统的研发和工程应用，公司通过深入调研用户需求，定制化设计系统节能方案，并配套设备集成，成功开发应用了一系列核心技术和装备，为用户创造了巨大的经济效益。 企业提供的围绕“机器视觉”相关产品及服务，可以帮助钢铁企业实现产品制造过程的智能化、数字化，可视化，唯能炬科技是集研发、生产、销售于一体的软件企业和高新技术企业。 企业贯彻绿色经济、环境经营的理念，竭诚为客户提供高效、优质的服务，为社会,,https://www.ncss.cn/student/jobs/N5xDGgPiMyU6G5BbkvfrbV/detail.html,2024-05-15 13:58:33
