职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期
科研人员,北京,博士,经验不限,,18-25k,环保,,500-999人,,,,<岗位标签>微生物学；土壤学；植物营养学；植物保护学；农学</岗位标签>一、 招聘对象1. 已取得博士学位，具有微生物科学、土壤学等相关农业领域知识背景，具备良好的科学道德和严谨的科学态度与独立科研能力；2、留学归国人员，具有国外工作学习经历的申请者予以优先考虑；3、2021年博士后出站人员。二、岗位职责：1、根据公司发展战略，改良现有产品结构，研发新产品；2、研究分析农业肥料市场，调整产品符合市场需求；3、研究分析肥料前沿技术，改良创新技术，并应用到新产品中；4、对业务人员和技术人员进行专业培训。三、任,北京嘉博文生物科技有限公司（简称BGB），是一家利用微生物技术发展循环经济，致力于城乡有机废弃物无害化、资源化处置，并开发系列环境友好型土壤调理剂、微生物肥料和有机质制品，实现资源循环再利用的生物环保和土壤改良的高新技术企业和农业产业化重点龙头企业。我们聚焦于有机废弃物资源化利用项目的建设、运营及服务和土壤改良、修复及农产品品质提升两大业务板块，着力于解决城市餐桌资源浪费、畜禽粪便环境污染、农业用地土壤退化、农产品品质降低等核心问题，通过“资源再生、沃土固碳”等技术途径减少碳排放，助力国家实现“碳达峰、碳,https://www.liepin.com/company/957080/,https://www.liepin.com/job/1935310759.shtml,2024-05-10 17:08:44
薪酬福利专员,北京-朝阳区,统招本科,1-3年,,10-18k,基金/证券/期货,,50-99人,,,,<岗位标签></岗位标签>职责描述：1、按公司薪酬制度进行工资及奖金的核算发放并代扣代缴个税，协助员工办理个税年度汇算；2、负责公司福利方案的管理与更新；4、负责员工及实习生的入离职手续的办理和相关文档的维护；5、协助员工办理工作居住证，落户等各类员工关系工作；6、完成年度人力预算，协助年度审计中薪酬相关部分7、完成其他领导交办的工作。任职要求：1、全日制本科及以上学历；2、熟悉薪资福利工作内容，有3年左右的相关工作经验；3、了解各类相关的法律法规；4、熟练使用office办公软件，具有中英文双语工作能力,贝塔斯曼集团业务遍及近50个国家，核心业务为媒体与服务，主要地域市场为西欧（尤其是德国、法国、英国、西班牙）和美国，同时也在加强渗透中国、印度和巴西等增长区域。贝塔斯曼集团旗下子集团包括RTL（广播电视）、企鹅兰登书屋（图书出版）、古纳雅尔（期刊杂志）、欧唯特（服务）和Be Printers（印刷）。贝塔斯曼股份两合公司（Bertelsmann SE & Co. KGaA）是一家以资本市场为导向的未上市股份有限公司。作为控股型公司，贝塔斯曼股份两合公司负责处理核心集团工作，如集团战略制定、资金分配、财务和,https://www.liepin.com/company/8339774/,https://www.liepin.com/job/1951225177.shtml,2024-05-10 17:09:15
固收交易员,北京,硕士,3-5年,,薪资面议,基金/证券/期货,,100-499人,新三板上市,,,<岗位标签>询价；现券；交易</岗位标签>中邮创业基金管理股份有限公司（公募） 中邮创业基金管理股份有限公司（以下简称“中邮创业基金”）经中国证监会批准，于2006年5月在北京成立。注册资本3.041亿元人民币，主要股东为首创证券、中邮证券和三井住友银行。中邮创业基金主要从事基金募集、基金销售、资产管理以及中国证监会许可的其它业务。现诚邀各路英才加盟。招聘岗位：固收交易员福利情况：全额五险一金、高端补充医疗、年终奖金、三餐、工作居住证、定期体检、意外伤害险等薪酬：面议岗位名称：固收交易员岗位职责：1.负责,中邮创业基金管理股份有限公司诚聘英才中邮创业基金管理股份有限公司（以下简称“中邮创业基金”）经中国证监会批准，于2006年5月在北京成立。注册资本3.041亿元人民币，主要股东为首创证券、中国邮政集团和三井住友银行。中邮创业基金主要从事基金募集、基金销售、资产管理以及中国证监会许可的其它业务。一直以来，我们始终秉承价值投资理念，诚实守信、勤勉尽责，公司的业绩与规模得到了蓬勃的发展。2020年“英华奖”三年期股票投资基金经理2020年“金禧奖”优秀权益类基金团队2020年中国金鼎奖“固收+”产品实力团队20,https://www.liepin.com/company/9805043/,https://www.liepin.com/job/1966835163.shtml,2024-05-10 17:45:46
拉丁舞老师,北京,硕士,,,150-200元/天,IT/互联网/游戏,,500-999人,A轮,,实习,<岗位标签></岗位标签>岗位职责：1.结合学员实际情况，为其设计课程，并做好教学计划。2.根据教学计划实施授课，本着趣味性与专业性相结合的原则开展教学。3.负责向学员（或家长）定期反馈学习进度、课堂表现、学习成果，传达公司促销政策、考级信息及活动资讯等信息。4.负责协助校区向学员开展升班、扩报及转介绍业务，协助校区给意向客户上体验课，提升校区业绩。5.负责协助教学部开展课程研发及教师培训等工作，确保公司教学品质及师资专业能力持续提高。6.完成校区及集团教学部排的其他工作。职位要求：1.舞蹈\师范类院校相,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,https://www.liepin.com/company/12220537/,https://www.liepin.com/lptjob/66835441,2024-05-11 14:57:31
一级注册结构工程师,北京,,,,11-16k·13薪,IT/互联网/游戏,,,A轮,,,<岗位标签></岗位标签>,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,https://www.liepin.com/company/12220537/,https://www.liepin.com/lptjob/66835279,2024-05-11 14:57:07
供应链计划员（实习生）(J10873),北京-大兴区,本科,,1人,150-200元/天,电子/半导体/集成电路,,5000-10000人,,,实习,<岗位标签>团队管理；英语</岗位标签>职责描述：1. 协助计划员对齐套物料的到货情况进行监控； 2. 协助统计数据，制定物料跟踪表，识别跟踪物料风险，并进行物料风险信息汇总逐级上报； 3. 协助计划员跟进并回复制造未来两周待启动项目物料货期，并将风险物料明细上报； 4. 协助跟踪后期待发物料按期到货；任职要求：1. 正规院校全日制本科以上学历；2. 具有良好的沟通能力强；3. 熟练操作办公软件；4. 具有高度的责任心，能在压力下独立承担工作；5. 具备良好的团队协作精神；6. 动手能力强，吃苦耐劳；7.,北方华创微电子主要产品包括刻蚀、PVD、CVD、氧化/扩散、清洗、气体质量流量计等高端半导体工艺装备及核心零部件，广泛应用于集成电路、微机电系统、功率半导体、先进封装、半导体照明、化合物半导体、新能源光伏、平板显示等领域。北方华创微电子在北京经济技术开发区、中关村电子城高科技园区、顺义天竺出口加工区拥有三大制造基地，营销服务体系覆盖欧、美、亚等全球主要国家和地区。北方华创微电子以“创造精良，打造民族自尊”为己任，继续发扬“精良品质·卓越服务·中国制造”的企业精神，将以高端微电子工艺装备领军企业的姿态登上世,https://www.liepin.com/company/10271447/,https://www.liepin.com/lptjob/66835009,2024-05-11 14:56:45
AI编辑实习生（数理方向）-内容质量与数据服务平台,北京-海淀区,本科,,,150-200元/天,互联网,,10000人以上,其他,,实习,<岗位标签></岗位标签>职位描述: 日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。团队介绍：抖音集团内容质量与数据服务平台（DOUYIN GROUP CONTENT QUALITY AND DATA SERVICE，简称CQC）是负责抖音集团今日头条、抖音、西瓜等产品内容安全与质量工作的团队，在各产品运营增长方面开展支持工作，为产品线提供数据服务的基础支持。平台下设内容质量中心、数据中心及运营支持中心，在全国10余个城市有业务分布。1、为人工智能机器学习提供优质的语料,"字节跳动成立于2012年3月，公司使命为“Inspire Creativity, Enrich Life（激发创造，丰富生活）”。公司业务覆盖150个国家和地区，拥有15万名员工。字节跳动在全球推出了多款有影响力的产品，包括今日头条、抖音、西瓜视频、飞书、Lark、PICO、剪映、TikTok等。截至2021年6月，字节跳动旗下产品全球月活跃用户数超过19亿。",https://www.liepin.com/company/7863078/,https://www.liepin.com/lptjob/66834707,2024-05-11 14:56:26
交通规划,北京-朝阳区,本科,,1人,8-10k·18薪,专业技术服务,,100-499人,,,应届,<岗位标签>路桥工程；建筑设计</岗位标签>岗位职责：1、贯彻执行国家、行业和地方现行的技术规范、标准；2、参与勘察、咨询、各阶段设计项目的工作；3、参与公司科研项目；4、参加本专业技术培训，提升专业技术水平、设计实践能力；5、履行公司有关规定的职责。 任职要求：1、教育背景：2024年应届硕士/本科毕业生，交通工程类专业。2、北京生源。3、能力/素质：（1）能够运用本专业的基础理论和专业技术知识；（2）具有完成一般性技术工作的能力；（3）具有较好的专业设计能力；（4）沟通能力、领悟能力和应变能力较强、具,民航机场规划设计研究总院有限公司（简称“民航总院”）前身为 1954 年成立的中国民用航空局场建处设计科，曾用名中国民用航空机场设计院，1993年并入中国民航机场建设工程公司，现为中国民航机场建设集团有限公司的全资子公司，是我国民航机场规划、设计、咨询、科研的龙头企业。民航总院设有总图、场道、建筑、交通、结构、给排水、暖通、电气、航管、弱电、灯光、岩土、道路、桥梁、工艺设备、航行服务、经济、概算等机场规划设计全过程所需17个专业。民航总院本部设有三个综合设计院：设计一院、设计二院、设计三院；设有六个专业所,https://www.liepin.com/company/13206969/,https://www.liepin.com/lptjob/66834315,2024-05-11 14:55:56
BIM工程师,北京-朝阳区,本科,,1人,8-10k·18薪,专业技术服务,,100-499人,,,应届,<岗位标签></岗位标签>岗位职责：1、协助主管工程师完成建筑信息化（BIM）相关工作；2、按照要求完成信息化（BIM）模型创建、模型审核、信息载入、模型应用等；3、负责根据施组施工方案快速出图、提效；4、协助完成招投标相关工作；5、完成上级安排的其他工作。任职要求： 1、教育背景：2024年应届硕士/本科毕业生，软件工程类专业。2、北京生源。3、能力/素质：（1）能够运用本专业的基础理论和专业技术知识；（2）具有完成一般性技术工作的能力；（3）具有较好的专业设计能力；（4）沟通能力、领悟能力和应变能力较,民航机场规划设计研究总院有限公司（简称“民航总院”）前身为 1954 年成立的中国民用航空局场建处设计科，曾用名中国民用航空机场设计院，1993年并入中国民航机场建设工程公司，现为中国民航机场建设集团有限公司的全资子公司，是我国民航机场规划、设计、咨询、科研的龙头企业。民航总院设有总图、场道、建筑、交通、结构、给排水、暖通、电气、航管、弱电、灯光、岩土、道路、桥梁、工艺设备、航行服务、经济、概算等机场规划设计全过程所需17个专业。民航总院本部设有三个综合设计院：设计一院、设计二院、设计三院；设有六个专业所,https://www.liepin.com/company/13206969/,https://www.liepin.com/lptjob/66834111,2024-05-11 14:55:46
终端管理主管,北京-昌平区,本科,3-5年,,8-19k·16薪,整车制造,,10000人以上,沪深A股上市,,,<岗位标签>汽车</岗位标签>职责描述：1、分销通路规划、分销运营管理、销网络的规划和建设，组织编制网络发展计划，2、对竞品及自身营销渠道的分析、评估，根据网络政策对营销渠道的设计、调整和完善，负责制订营销网络的建立标准和相关管理文件，配合区域共同开展网络招商的实施与目标推进3、对营销网络进行有效管理，配合区域实施营销网络建设、优化和提升任职要求：1、有相关营销类、管理类、汽车类相关专业工作经验2、具有吃苦耐劳和工作积极主动性的品质3、从事汽车销售行业3年以上工作经验。4、善于规划和总结人员优先 其他信息,"北汽福田汽车股份有限公司（简称福田汽车）成立于1996年，1998年在上海证券交易所上市，是中国品种**、规模**的商用车企业，2022年品牌价值达1915.16亿元，连续18年蝉联中国商用车行业**位。2021年4月,福田汽车总销量突破1000万辆，成为中国汽车工业史上**销量突破千万辆的商用车企、中国*个千万级“双自主”商用车企、全球突破千万销量用时最短的商用车企。海外累计出口68万辆，连续11年位居中国商用车出口**，产品覆盖全球110个国家和地区。辉煌26年，福田汽车锻造了从新兴企业到世界前列商用",https://www.liepin.com/company/215441/,https://www.liepin.com/job/1964058459.shtml,2024-05-10 17:13:45
