岗位描述,技术栈
"财务软件工程师任职要求：1、本科以上学历，计算机、财务、金融等相关专业；2、了解财务运作、 资金报表、合并报表、经营分析业务逻辑；3、了解后台运行逻辑,有3年以上财务模块开发经验；4、具有良好的沟通交流能力、需求分解能力和较强的抗压能力；5、熟悉c#，良好的编码和文档习惯，注重代码风格，熟悉各种设计模式和原则，能持续的关注和优化自己做的项目","技术栈：

1. C#
2. 设计模式
3. 编程原则"
.NET，C#，SQL1.计算机软件相关毕业，2年以上工作经验，从事大型软件产品开发；2.精通Asp.net或.net core开发，能编写高质量代码，文档规范，思路清晰；3.熟悉SQL Server数据库，有较强的数据库设计及SQL编写能力；4.能够读写英文文档及邮件；5.端正积极的工作态度，具备优秀的团队合作精神，和强烈的责任感。,"技术栈: 

1. Asp.net
2. .net core
3. SQL Server"
岗位职责：1、根据公司软件开发规范，使用公司提供的开发工具，进行系统开发；2、与甲方进行沟通并及时提供技术支持服务；3、负责系统需求、设计、开发过程中相关文档的编写；4、配合测试人员完成系统测试工作，协助实施人员完成系统实施工作；职位要求： 1、具有计算机等相关领域的学士及以上学历；2、3年及以上软件开发经验，熟悉软件开发工作流程，熟悉面向对象编程思想；3、精通.Net和.NET Core下的开发技术，熟悉WebAPI，MVC及基于仓储模式的多层架,"技术栈: 

1. .Net
2. .NET Core
3. WebAPI
4. MVC"
工作职责岗位职责：1、设计并上线公司全栈技术系统，包括小程序、线上商城、业务中台，数据中台，供应链系统、财务系统、WMS等；2、对用户体验和产品质量负责；参与系统全生命周期的调研、需求、设计、性能优化、故障排查和解决、安全加固等工作；任职资格? 统招本科及以上学历，3年以上互联网研发工作经验；? 具有扎实的计算机科学功底，扎实的编程基础和数据结构算法基础，优秀的编程能力和问题解决能力；? 精通Java及面向对象设计开发、设计模式，面对复杂系统、复杂问题有化繁为简的能力；? 深入理解面向服务的架构、有丰富的WebService开发经验、熟悉Spring等主流框架和开发工具；熟悉MySQL等主流数据库；熟练使用Shell、Python等至少一种脚本；可熟练使用Linux；? 熟练掌握网络通信原理，熟悉服务器端，数据端的主流技术或框架；? 善于交流，良好的团队合作和协调沟通能力，能与产品、前端、移动端等各方配合；? 有高并发分布式开发经验，熟悉JVM原理及性能调优者优先,"技术栈：

1. Java
2. Spring
3. MySQL
4. Shell
5. Python
6. Linux"
"岗位职责：1.在直属领导的指导和监督下定期完成量化的模块编码工作；2.负责程序单元测试及相关技术文档编写；3.与团队成员进行有效沟通，协作完成项目岗位要求：1.有一定C#，.NET framework , Winform , ASP.NET，JavaScript、JQuery开发经验；2.具有主流数据库管理系统操作能力；3.工作积极主动，具有高度的热情和责任感；4.具有良好的学习、沟通能力和团队合作精神；5.在软件比赛中获奖、有企业项目实际开发经验或计算机成绩优秀者优先考虑。","技术栈: 

1. C#
2. .NET Framework
3. Winform
4. ASP.NET
5. JavaScript
6. JQuery"
职位描述1、负责快手用户画像平台建设，涵盖标签管理、人群管理、画像分析等功能及基础服务建设；2、负责系统核心功能实现，涉及但不限于系统设计、程序开发、代码审查、联调测试；3、与产品、前端、上下游系统开发人员高效协作，保时保质地推动系统落地。任职要求1、计算机相关专业，1年及以上工作经验，有扎实的计算机基础知识和编程功底，良好的编码习惯；2、精通Java，掌握集合、IO、多线程、JVM等基础技术，对性能调优、故障处理等有较强处理能力；3、掌握MySQL、Redis、Flink、Kafka、Hive、ClickHouse等开源软件和框架，至少熟悉其中两项，精通加分；4、有团队精神，有Owner意识，有较强的执行力和一定的抗压能力；5、有较强的逻辑思维能力，善于分析、归纳、解决问题，持续学习和总结，自我迭代。,"技术栈：

1. Java
2. MySQL
3. Redis
4. Flink
5. Kafka
6. Hive
7. ClickHouse"
岗位职责：1、配合技术总监完成日常项目开发工作；2、完成软件的设计、实现、测试、修改bug等工作。任职要求：1、统招本科以上学历；2、精通.NET Framework及各项技术，对ASP.NET、WCF、MVC了解；3、精通Sql Server 2005各项操作及SQL语法，有独立编写存储过程，触发器等能力；4、基本的HTML/CSS/JavaScript编写能力，能在没有IDE协助的情况下独立完成；5、需要较强的逻辑分析、数据分析能力、问题排查能力；6、具有良好的沟通能力和团队合作精神。,"技术栈：

1. .NET Framework
2. ASP.NET
3. WCF
4. MVC
5. Sql Server 2005
6. HTML
7. CSS
8. JavaScript"
职位描述1. 工作范围是本公司运营中网站的相关工作，非外包；2. 根据UI设计进行网站页面开发及维护；3. 根据业务需求进行网站后台业务管理系统开发及维护；4. 现有代码效率优化及重构；5. 数据库维护及优化。职位要求1、 熟悉C#语言，熟悉.Net框架，熟练使用VS2010开发环境，熟练掌握ASP.NET、JavaScript、Html、XML、Ajax、2、 熟悉SQL Server数据库，熟练使用SQL语言，掌握存储过程；3、 具有良好的编程风格，有多层结构的开发经验；擅长开发应用接口对接，数据采集；4、 诚实、正直、客观，善于沟通，具有敬业精神，有团队意识、学习能力强；5、 逻辑思维清晰，良好的系统设计、分析和解决问题的技巧；6、良好文档习惯，有协同开发意识；7、 有国际机票-租车-国际酒店行业经验3年以上。,"技术栈：

1. C#
2. .Net框架
3. VS2010
4. ASP.NET
5. JavaScript
6. Html
7. XML
8. Ajax
9. SQL Server
10. SQL语言"
"职位描述1、计算机专业，4年以上相关工作经验，能熟练使用C#/.NET进行windows平台软件开发及WEB应用程序开发；精通后端与CS架构2、了解ASP.NET、JavaScript、HTML、CSS、XML及AJAX等Web开发技术;3、熟悉SQL语言，熟练掌握SQL Server等关系数据库，至少具备使用一种常用数据库的能力（SQL SERVER、mysql、Oracle、DB2等）；4、熟悉 C/S，B/S构架，可以配置IIS,Apach等服务。5、具备串口通信、TCP/UDP，及多线程编程者优先。6、良好的逻辑思维能力、理解能力，团队协作意识，较强的自我提升意识。工作要求：软件开发：参与软件系统的设计、开发、调试等过程，解决工程中的关键问题和技术难题","技术栈：

1. C#
2. .NET
3. ASP.NET
4. JavaScript
5. HTML
6. CSS
7. XML
8. AJAX
9. SQL
10. SQL Server
11. IIS
12. Apache"
"岗位职责1、参与软件系统分析及设计工作；2、按照项目任务和项目计划，完成模块的设计、编码和测试；3、可以独立的开展并高质量完成开发任务；4、参与代码审核工作，发现和解决存在的技术问题。5、团队协作进行开发，并指导其他软件工程师进行开发和解决问题；6、具有强烈的质量意识。任职资格1、计算机相关专业大专以上学历；2、精通ASP.NET，.NET CORE MVC开发，有面向对象的分析，设计和开发经验，能独立解决技术问题;3、3年以上.Net项目开发工作经验，熟悉C#、ASP.NET、JavaScript,了解前后端分离4、对SqlServer或者MYSQL数据库有不错的运用和开发经验，熟练了解sql，能进行数据库的性能调优，熟悉了解EF等相关ORM技术。5、对微服务开发，分布式事务，Redis熟悉优先;6、有较好的逻辑思维能力，善于分析解决问题，喜欢挑战性的工作，有完成优秀产品的热情和激情；7、良好的职业修养、责任心强；良好的沟通能力和团队协作精神，抗压能力强；8、有项目管理经验优先；我们的福利1、周末双休，提供住宿。2、提供办公室水果、糖水、零食、奶茶、咖啡、茶叶，还管早餐和午饭。3、五险一金全员覆盖，住房公积金让你买房无忧。4、有钱才能把事办，员工活动经费月月有。5、父母好，我也好，重大节日公司代送礼物给家人。6、成长快快跑，培训很重要，可享受专业培训与熏陶，让你成长成才呵护好。7、季度体能锻炼，工作健身两不误。8、入职体检、年度健康体检，身子是革命的本钱。9、一年两次","技术栈：

1. ASP.NET
2. .NET CORE MVC
3. C#
4. JavaScript
5. SqlServer
6. MYSQL
7. EF (Entity Framework)
8. Redis
9. 微服务开发
10. 分布式事务"
设计、开发、优化大数据相关产品 - 构建批量分析、交互式分析、实时分析以及数据湖解决方案 - Hadoop生态产品的稳定性、性能、易用性 私有云、公有云客户支持 职责要求： - 211本科及以上学历，计算机及相关专业，2年以上工作经验 - 熟悉Java开发，熟悉网络编程及多线程开发，熟悉常见数据结构和算法 - 熟悉Linux平台，至少一种脚本语言 - 有Hadoop生态系统相关经验 - 有大数据平台开发经验优先 说明：本岗位不是做数据处理，而是平台开发,"技术栈：

1. Java
2. Linux
3. Hadoop
4. 脚本语言（未指定具体语言，但可能包括Python、Shell等）"
